lemma,form,paradigm_slot
bersîvandin,bersîvandinê,"V;V.MSDR;ACC"
xistin,xistinê,"V;V.MSDR;ACC"
ra-medandin,ra-medandinê,"V;V.MSDR;ACC"
sebr kirin,sebr kirinê,"V;V.MSDR;ACC"
ve-ciniqandin,ve-ciniqandinê,"V;V.MSDR;ACC"
ewtîn,ewtînê,"V;V.MSDR;ACC"
rizan,rizanê,"V;V.MSDR;ACC"
ji bîr kirin,ji bîr kirinê,"V;V.MSDR;ACC"
þûlikîn,þûlikînê,"V;V.MSDR;ACC"
þewitandin,þewitandinê,"V;V.MSDR;ACC"
rêtin,rêtinê,"V;V.MSDR;ACC"
sandin,sandinê,"V;V.MSDR;ACC"
þepîn,þepînê,"V;V.MSDR;ACC"
vê-xistin,vê-xistinê,"V;V.MSDR;ACC"
lê-gerîn,lê-gerînê,"V;V.MSDR;ACC"
gujîn,gujînê,"V;V.MSDR;ACC"
þuxulîn,þuxulînê,"V;V.MSDR;ACC"
biliyan,biliyanê,"V;V.MSDR;ACC"
xebitîn,xebitînê,"V;V.MSDR;ACC"
giriyan,giriyanê,"V;V.MSDR;ACC"
temase kirin,temase kirinê,"V;V.MSDR;ACC"
ricifîn,ricifînê,"V;V.MSDR;ACC"
kiþkiþandin,kiþkiþandinê,"V;V.MSDR;ACC"
qêrîn,qêrînê,"V;V.MSDR;ACC"
bar kirin,bar kirinê,"V;V.MSDR;ACC"
lebitîn,lebitînê,"V;V.MSDR;ACC"
ra-hiþtin,ra-hiþtinê,"V;V.MSDR;ACC"
keniyan,keniyanê,"V;V.MSDR;ACC"
ser-þuþtin,ser-þuþtinê,"V;V.MSDR;ACC"
ra-girtin,ra-girtinê,"V;V.MSDR;ACC"
kirîn,kirînê,"V;V.MSDR;ACC"
xiþikîn,xiþikînê,"V;V.MSDR;ACC"
bênihtin,bênihtinê,"V;V.MSDR;ACC"
tepandin,tepandinê,"V;V.MSDR;ACC"
gir-girtin,gir-girtinê,"V;V.MSDR;ACC"
rêk-xistin,rêk-xistinê,"V;V.MSDR;ACC"
ve-hêrandin,ve-hêrandinê,"V;V.MSDR;ACC"
wer-gerandin,wer-gerandinê,"V;V.MSDR;ACC"
heliyan,heliyanê,"V;V.MSDR;ACC"
qetan,qetanê,"V;V.MSDR;ACC"
tê-kirin,tê-kirinê,"V;V.MSDR;ACC"
tê-gihîþtin,tê-gihîþtinê,"V;V.MSDR;ACC"
ve-texirîn,ve-texirînê,"V;V.MSDR;ACC"
wer-girtin,wer-girtinê,"V;V.MSDR;ACC"
da-avêtin,da-avêtinê,"V;V.MSDR;ACC"
kuxîn,kuxînê,"V;V.MSDR;ACC"
lerzîn,lerzînê,"V;V.MSDR;ACC"
hil-weþîn,hil-weþînê,"V;V.MSDR;ACC"
pijiqandin,pijiqandinê,"V;V.MSDR;ACC"
beriqîn,beriqînê,"V;V.MSDR;ACC"
piþaftin,piþaftinê,"V;V.MSDR;ACC"
ber-ketin,ber-ketinê,"V;V.MSDR;ACC"
meyîn,meyînê,"V;V.MSDR;ACC"
diriyan,diriyanê,"V;V.MSDR;ACC"
hebûn,hebûnê,"V;V.MSDR;ACC"
sijîn,sijînê,"V;V.MSDR;ACC"
afirandin,afirandinê,"V;V.MSDR;ACC"
perpitîn,perpitînê,"V;V.MSDR;ACC"
qîrîn,qîrînê,"V;V.MSDR;ACC"
da-kutan,da-kutanê,"V;V.MSDR;ACC"
nuxumîn,nuxumînê,"V;V.MSDR;ACC"
xuyan,xuyanê,"V;V.MSDR;ACC"
ra-pîvan,ra-pîvanê,"V;V.MSDR;ACC"
nalîn,nalînê,"V;V.MSDR;ACC"
dexisîn,dexisînê,"V;V.MSDR;ACC"
xitimandin,xitimandinê,"V;V.MSDR;ACC"
firiyan,firiyanê,"V;V.MSDR;ACC"
ra-xistin,ra-xistinê,"V;V.MSDR;ACC"
ve-bûn,ve-bûnê,"V;V.MSDR;ACC"
herimandin,herimandinê,"V;V.MSDR;ACC"
guh dan,guh danê,"V;V.MSDR;ACC"
pijandin,pijandinê,"V;V.MSDR;ACC"
pekandinhil-qedimîn,pekandinhil-qedimînê,"V;V.MSDR;ACC"
da-xistin,da-xistinê,"V;V.MSDR;ACC"
kewtîn,kewtînê,"V;V.MSDR;ACC"
da-liqandin,da-liqandinê,"V;V.MSDR;ACC"
herikîn,herikînê,"V;V.MSDR;ACC"
êxistin,êxistinê,"V;V.MSDR;ACC"
ve-dan,ve-danê,"V;V.MSDR;ACC"
fêr bûn,fêr bûnê,"V;V.MSDR;ACC"
ra-pelikîn,ra-pelikînê,"V;V.MSDR;ACC"
hatin,hatinê,"V;V.MSDR;ACC"
bihorîn,bihorînê,"V;V.MSDR;ACC"
çirûsîn,çirûsînê,"V;V.MSDR;ACC"
hejiyan,hejiyanê,"V;V.MSDR;ACC"
ra-ketin,ra-ketinê,"V;V.MSDR;ACC"
gihistin,gihistinê,"V;V.MSDR;ACC"
ve-qetandin,ve-qetandinê,"V;V.MSDR;ACC"
vizîn,vizînê,"V;V.MSDR;ACC"
hesiyan/hesîn,hesiyan/hesînê,"V;V.MSDR;ACC"
ve-poþandin,ve-poþandinê,"V;V.MSDR;ACC"
anîn,anînê,"V;V.MSDR;ACC"
lîlandin,lîlandinê,"V;V.MSDR;ACC"
nivîsîn,nivîsînê,"V;V.MSDR;ACC"
rûxandin,rûxandinê,"V;V.MSDR;ACC"
ve-xistin,ve-xistinê,"V;V.MSDR;ACC"
nitilandin,nitilandinê,"V;V.MSDR;ACC"
ra-kirin,ra-kirinê,"V;V.MSDR;ACC"
çilmîsîn,çilmîsînê,"V;V.MSDR;ACC"
ve-ciniqîn,ve-ciniqînê,"V;V.MSDR;ACC"
rûnistin,rûnistinê,"V;V.MSDR;ACC"
buhirîn,buhirînê,"V;V.MSDR;ACC"
ve-miran,ve-miranê,"V;V.MSDR;ACC"
peyivîn,peyivînê,"V;V.MSDR;ACC"
hel-bijartin,hel-bijartinê,"V;V.MSDR;ACC"
av dan,av danê,"V;V.MSDR;ACC"
da-girtin,da-girtinê,"V;V.MSDR;ACC"
destve-înan,destve-înanê,"V;V.MSDR;ACC"
liqandin,liqandinê,"V;V.MSDR;ACC"
qediyan,qediyanê,"V;V.MSDR;ACC"
qufulîn,qufulînê,"V;V.MSDR;ACC"
bijiqandin,bijiqandinê,"V;V.MSDR;ACC"
mêjîn,mêjînê,"V;V.MSDR;ACC"
meþandin,meþandinê,"V;V.MSDR;ACC"
niqutandin,niqutandinê,"V;V.MSDR;ACC"
çîrîn,çîrînê,"V;V.MSDR;ACC"
çêkirin,çêkirinê,"V;V.MSDR;ACC"
hewil-dan,hewil-danê,"V;V.MSDR;ACC"
simsimîn,simsimînê,"V;V.MSDR;ACC"
pijîn,pijînê,"V;V.MSDR;ACC"
behs kirin,behs kirinê,"V;V.MSDR;ACC"
meþiyan/-în,meþiyan/-înê,"V;V.MSDR;ACC"
çûyîn,çûyînê,"V;V.MSDR;ACC"
pejirandin,pejirandinê,"V;V.MSDR;ACC"
rêzkirin,rêzkirinê,"V;V.MSDR;ACC"
ve-man,ve-manê,"V;V.MSDR;ACC"
ve-qetiyan,ve-qetiyanê,"V;V.MSDR;ACC"
ve-kiþîn,ve-kiþînê,"V;V.MSDR;ACC"
ve-zelan,ve-zelanê,"V;V.MSDR;ACC"
da-ketin,da-ketinê,"V;V.MSDR;ACC"
pijiqîn,pijiqînê,"V;V.MSDR;ACC"
pê-xistin,pê-xistinê,"V;V.MSDR;ACC"
hil-avîtin,hil-avîtinê,"V;V.MSDR;ACC"
hirþiyan,hirþiyanê,"V;V.MSDR;ACC"
rijiyan,rijiyanê,"V;V.MSDR;ACC"
ra-westan,ra-westanê,"V;V.MSDR;ACC"
pê-ketin,pê-ketinê,"V;V.MSDR;ACC"
zanîn,zanînê,"V;V.MSDR;ACC"
teqîn,teqînê,"V;V.MSDR;ACC"
sekinan/-în,sekinan/-înê,"V;V.MSDR;ACC"
der-xistin,der-xistinê,"V;V.MSDR;ACC"
mamostatî/etîatî/etîkirin,mamostatî/etîatî/etîkirinê,"V;V.MSDR;ACC"
vegeriyan,vegeriyanê,"V;V.MSDR;ACC"
da-mezran,da-mezranê,"V;V.MSDR;ACC"
jê-kirin,jê-kirinê,"V;V.MSDR;ACC"
pirsan,pirsanê,"V;V.MSDR;ACC"
kuxuyan,kuxuyanê,"V;V.MSDR;ACC"
rûxan,rûxanê,"V;V.MSDR;ACC"
ve-maltin,ve-maltinê,"V;V.MSDR;ACC"
pîn-avêtin,pîn-avêtinê,"V;V.MSDR;ACC"
behskirin,behskirinê,"V;V.MSDR;ACC"
qîrçîn,qîrçînê,"V;V.MSDR;ACC"
kuskusandin,kuskusandinê,"V;V.MSDR;ACC"
lê-xistin,lê-xistinê,"V;V.MSDR;ACC"
hil-dan,hil-danê,"V;V.MSDR;ACC"
hel-dirandin,hel-dirandinê,"V;V.MSDR;ACC"
fahm kirin,fahm kirinê,"V;V.MSDR;ACC"
ra-westandin,ra-westandinê,"V;V.MSDR;ACC"
hil-kutan,hil-kutanê,"V;V.MSDR;ACC"
axaftin,axaftinê,"V;V.MSDR;ACC"
niqutîn,niqutînê,"V;V.MSDR;ACC"
hil-weþandin,hil-weþandinê,"V;V.MSDR;ACC"
hil-girtin,hil-girtinê,"V;V.MSDR;ACC"
çewsandin,çewsandinê,"V;V.MSDR;ACC"
þixulîn,þixulînê,"V;V.MSDR;ACC"
çêrîn,çêrînê,"V;V.MSDR;ACC"
têgihistin,têgihistinê,"V;V.MSDR;ACC"
zarîn,zarînê,"V;V.MSDR;ACC"
birisqîn,birisqînê,"V;V.MSDR;ACC"
nuxumandin,nuxumandinê,"V;V.MSDR;ACC"
ve-jenîn,ve-jenînê,"V;V.MSDR;ACC"
qerisîn,qerisînê,"V;V.MSDR;ACC"
pêk-anîn,pêk-anînê,"V;V.MSDR;ACC"
ve-gevizîn,ve-gevizînê,"V;V.MSDR;ACC"
ra-bûn,ra-bûnê,"V;V.MSDR;ACC"
