"iso_639_3","language_name","population_l1","div_bordering_languages","area_km2","altitude_range","roughness"
"aaa","Ghotuo",9000,7,227.0555293,351.4570923,5.167666912
"aab","Alumu-Tesu",7000,3,39.49597832,684.9346924,5.532274246
"aac","Ari",50,5,1102.240604,320.3540726,3.526711643
"aad","Amal",830,0,63.46062922,798.9605103,5.861983538
"aae","Arbëreshë Albanian",100000,2,591.8280621,648.4189453,6.456739426
"aaf","Aranadan",200,0,70.35875753,792.9188232,5.967473507
"aag","Ambrak",290,4,44.31627387,798.9605103,5.861983538
"aai","Arifama-Miniafia",3470,3,141.1149373,1320.206238,6.554695368
"aak","Ankave",1600,4,205.0679028,1690.902893,6.805873156
"aal","Afade",5000,8,1520.064863,164.3442841,3.178839147
"aan","Anambé",6,1,529.755437,82.83061218,3.183473349
"aap","Pará Arára",340,1,5368.268629,162.8749695,4.200352192
"aaq","Eastern Abenaki",1800,2,51994.69699,363.8527374,4.962409735
"aar","Afar",1379200,9,133871.0707,1416.242905,6.227539063
"aas","Aasax",350,0,812.6089533,763.3223877,6.349441051
"aat","Arvanitika Albanian",50000,3,8698.048991,526.3833256,6.132799268
"aau","Abau",7270,10,2200.578803,988.9312134,6.103123665
"aaw","Solong",2200,2,1002.856973,613.0570679,6.149116993
"aax","Mandobo Atas",10000,8,4123.064614,1158.072285,4.179676354
"aaz","Amarasi",70000,2,796.5878631,316.5432124,5.266884923
"aba","Abé",170000,8,4217.068936,160.7036743,4.193180084
"abb","Bankon",12000,4,419.5082335,917.5430145,6.092959404
"abc","Ambala Ayta",1660,1,75.12178619,378.2962646,5.941675186
"abd","Camarines Norte Agta",3800,1,21.47350494,301.3759816,5.460740089
"abe","Western Abenaki",14,4,29642.961,497.9520264,5.596167088
"abf","Abai Sungai",0,2,54.79749181,324.1733856,4.771843433
"abg","Abaga",5,0,1.045075959,1916.283508,6.958115339
"abi","Abidji",50500,5,1125.248906,170.2126007,4.189496994
"abj","Akabea",0,1,155.0250565,75.4839859,4.28423357
"abk","Abkhazian",105000,4,1847.401115,2058.732849,6.638785362
"abl","Lampung Nyo",180000,2,1825.780868,412.9399567,4.269862652
"abm","Abanyom",12500,5,214.5903105,727.786972,5.333243728
"abn","Abua",25000,8,432.0696617,115.6379375,2.924462557
"abo","Abon",1000,4,85.01526441,1055.950439,5.800908089
"abp","Abenlen Ayta",3000,2,118.6165102,604.4528809,6.177906871
"abq","Abaza",37800,4,684.9156414,2472.80249,6.349568367
"abr","Abron",1183000,7,14625.38211,173.119194,4.437000036
"abt","Ambulas",44000,9,1154.190211,608.9898071,5.62084341
"abu","Abure",55100,7,1185.014848,180.5846939,4.229865789
"abw","Pal",1160,6,254.6516674,1692.247772,6.021868944
"abx","Inabaknon",26400,0,35.88381396,188.1075287,5.224923372
"aby","Aneme Wake",650,4,1243.6425,1126.683517,6.858831644
"abz","Abui",16000,6,627.2398512,568.1637573,6.116060734
"aca","Achagua",250,2,3413.503013,1314.366328,4.834309995
"acd","Gikyode",10400,3,804.5338761,376.9318085,4.998162508
"ace","Acehnese",3500000,6,17655.56414,1227.176697,6.805859804
"ach","Acoli",1197000,10,32136.11582,659.1866659,5.232975324
"aci","Akacari",0,1,472.4909205,76.31477737,4.28423357
"ack","Akakora",0,1,632.7555896,67.76947403,3.996647477
"acl","Akarbale",0,2,347.8295353,75.4839859,4.28423357
"acn","Longchuan Achang",62700,5,1531.878702,1525.952393,6.605379581
"acp","Eastern Acipa",5000,4,1524.882284,298.1647644,4.743983269
"acr","Achi",85600,5,2853.15555,1687.895793,6.586398125
"acs","Acroá",0,5,37554.49315,513.1735306,5.233447313
"acu","Achuar-Shiwiar",7000,6,21385.57912,1562.112747,5.494170606
"acv","Achumawi",10,1,632.0299609,989.4763489,6.111812353
"acz","Acheron",9830,4,47.17661502,306.5653992,4.566905975
"ada","Adangme",800000,6,4567.11343,282.1754456,4.778396726
"add","Dzodinka",2600,6,124.0185645,1108.035416,5.829763412
"ade","Adele",27300,7,1382.427533,376.9318085,4.998162508
"adg","Andegerebinha",10,2,19640.57309,142.9008179,3.965088129
"adh","Adhola",360000,5,895.3935423,938.9922981,5.148241937
"adi","Bori-Karko",98090,12,24567.94016,3936.284912,7.050323009
"adj","Adioukrou",100000,9,1440.332994,170.2126007,4.189496994
"adl","Galo",30000,2,3730.907278,3936.284912,7.050323009
"adn","Adang",3000,2,71.18014492,568.1637573,6.116060734
"ado","Abu",4200,7,1115.906642,1331.161784,5.888193766
"adq","Adangbe",2200,3,622.1514933,298.1988068,4.86211729
"adr","Adonara",98000,2,589.4238099,359.1753235,5.88604784
"adt","Adnyamathanha",110,1,12961.26958,340.1503983,4.942745447
"adw","Amundava",83,2,2112.604267,138.7994347,3.933862209
"adx","Amdo Tibetan",1800000,15,287019.2073,1276.751831,6.123123169
"ady","Adyghe",467800,5,2947.480151,936.2339478,5.981981277
"adz","Adzera",30000,11,1708.479745,1916.283508,6.958115339
"aea","Areba",0,4,20055.97626,147.7705002,3.735556722
"aee","Northeast Pashayi",54400,4,294.619786,3754.145508,7.082107067
"aek","Haeke",300,3,48.78164374,199.3482857,5.69926405
"ael","Ambele",2600,7,250.2873751,1106.72113,5.925098896
"aem","Arem",40,4,232.9548419,712.0228271,6.122921944
"aeq","Aer",100,0,0.137073262,81.64800644,3.345421553
"aer","Eastern Arrernte",2380,1,32665.47781,321.3941612,4.53102386
"aeu","Akeu",11400,8,4732.72409,745.2794495,6.088199258
"aew","Ambakich",770,4,661.7813748,1331.161784,5.888193766
"aey","Amele",5300,5,129.6832588,2141.664124,7.110357523
"aez","Aeka",3400,2,479.1665939,1763.608978,7.142966628
"afd","Andai",400,1,555.9396543,1842.21226,6.533751488
"afe","Putukwam",70000,8,243.7237909,727.786972,5.333243728
"afi","Chini",75,4,65.35287952,1692.247772,6.021868944
"afk","Nanubae",1270,4,144.5057981,1605.971558,6.177941203
"afn","Defaka",200,1,0.01163082,269.6792212,4.263822079
"afo","Eloyi",25000,4,1959.12415,506.0942841,5.171826363
"afp","Tapei",290,3,87.1993658,1605.971558,6.177941203
"afr","Afrikaans",6969900,30,804028.506,333.4846497,4.991360664
"aft","Afitti",4510,2,210.7804798,244.1084976,4.368705988
"afu","Awutu",180000,3,677.8663654,251.8383484,4.652168751
"afz","Obokuitai",120,6,529.873644,1396.417938,6.374885559
"agb","Legbo",60000,6,160.9903752,348.8528137,4.741388559
"agc","Agatu",70000,8,3863.452881,506.0942841,5.171826363
"agd","Agarabi",27000,3,524.6929993,1916.283508,6.958115339
"age","Angal",18600,6,428.7335382,1966.779867,6.307500839
"agf","Arguni",150,0,3.009544341,523.0792236,5.794586897
"agg","Angor",1270,4,219.4425312,988.9312134,6.103123665
"agh","Ngelima",13600,10,19305.80534,138.8135529,4.19657135
"agj","Argobba",43700,3,696.1786971,1792.276489,6.531111002
"agk","Isarog Agta",5,1,85.15415824,202.9966202,5.290183783
"agl","Fembe",350,5,567.1146596,2471.141968,6.605589628
"agm","Angaataha",2100,7,536.0158622,1774.098022,7.179609299
"agn","Agutaynen",15000,3,213.3680521,245.3163223,5.4286201
"ago","Tainae",1000,4,1002.628524,1690.902893,6.805873156
"agq","Aghem",26700,7,184.8619647,1106.72113,5.925098896
"agr","Aguaruna",38300,5,33309.92448,2402.681641,6.997346878
"ags","Esimbi",20000,9,860.7969833,1106.72113,5.925098896
"agt","Central Cagayan Agta",780,3,244.0903272,777.3690186,6.308967113
"agu","Aguacateco",18000,2,281.8824847,1862.024902,6.797534943
"agv","Hatang Kayi",2530,2,1006.160101,498.1347046,5.801852703
"agw","Kahua",5170,2,440.6759596,258.8673553,5.491660595
"agx","Aghul",29300,3,532.9881666,2643.784424,7.20380497
"agy","Southern Alta",1000,1,100.7531377,693.0326335,6.138188998
"agz","Mt. Iriga Agta",1500,5,190.346852,202.9966202,5.290183783
"aha","Ahanta",142000,3,570.441696,221.3975677,4.461201668
"ahb","Axamb",750,3,82.59505168,194.9789124,5.632886171
"ahg","Qimant",1650,1,1208.70613,1331.428955,6.21700573
"ahh","Aghu",3000,5,2856.224917,1158.072285,4.179676354
"ahi","Tiagbamrin Aizi",9000,4,156.4448446,170.2126007,4.189496994
"ahk","Akha",563960,27,11525.64081,693.9308167,6.153100252
"ahl","Igo",6000,7,88.38544923,461.5729065,5.104887962
"ahm","Mobumrin Aizi",2000,1,14.52879062,170.2126007,4.189496994
"ahn","Àhàn",300,4,180.0434748,349.9607239,4.972217719
"aho","Ahom",0,0,215.9917817,2267.704285,6.077709556
"ahp","Aproumu Aizi",6500,3,320.4309862,170.2126007,4.189496994
"ahs","Ashe",40000,6,448.5252525,684.9346924,5.532274246
"aht","Ahtena",80,0,12864.44667,760.0266113,6.578912258
"aia","Arosi",6750,1,545.1504218,301.1351166,5.628726959
"aib","Ainu (China)",6570,0,199.5861315,2704.719482,6.586735249
"aic","Ainbai",100,2,71.50475045,589.8666229,6.021802902
"aid","Alngith",0,4,4617.670332,104.0108204,4.132860184
"aie","Amara",230,3,103.2216033,613.0570679,6.149116993
"aif","Agi",960,7,52.88541489,798.9605103,5.861983538
"aih","Ai-Cham",2700,2,117.1539026,570.6807022,5.678006172
"aii","Assyrian Neo-Aramaic",75000,6,2508.402887,1825.957886,6.437617779
"aik","Ake",3000,2,148.583392,694.4057515,5.227744102
"ail","Aimele",140,4,852.2855081,1211.538951,5.08873256
"aim","Aimol",2640,4,236.9946972,1216.67041,6.178402901
"ain","Hokkaido Ainu",25,2,102797.2807,639.7263794,5.966615677
"aio","Aiton",1500,1,936.5339734,1783.800964,6.549396992
"aip","Burumakok",40,4,237.4597614,1920.527695,5.931137681
"aiq","Aimaq",480000,5,33102.01357,2010.464722,6.582940578
"air","Airoran",1000,6,1143.558199,573.8927612,5.544532776
"ait","Arikem",0,2,14956.04057,100.0138206,3.440206289
"aiw","Aari",235000,7,2948.275965,1286.789124,6.565350771
"aix","Aighon",2000,2,2434.615765,490.2012634,6.238593578
"aiy","Ali",35000,7,4102.232539,222.5043831,4.501657248
"aja","Aja (Sudan)",200,3,222.9366369,259.4382782,4.443122705
"ajg","Aja (Benin)",512500,10,4450.710357,338.9494247,4.765662193
"aji","Ajië",5360,6,1795.668035,232.1738453,5.405962944
"aju","Judeo-Moroccan Arabic",8930,1,186.1824089,974.8968658,5.955520272
"ajw","Ajawa",0,0,69.20658491,819.1970825,5.055850029
"ajz","Amri Karbi",125000,5,3710.963209,2148.668091,6.511569738
"aka","Akan",8300000,21,57389.32124,266.1520844,4.694676161
"akb","Batak Angkola",750000,4,12406.80622,1020.377136,5.713979721
"akc","Mpur",7000,4,2151.735936,670.0216293,6.307080388
"akd","Ukpet-Ehom",11400,8,293.0080719,370.4517517,4.67139864
"ake","Akawaio",5350,5,24048.78635,619.0234528,5.369187593
"akf","Akpa",26900,4,603.2112401,327.2538757,4.811378479
"akg","Anakalangu",16000,4,609.2400885,424.5678101,6.029537201
"akh","Angal Heneng",40000,3,456.7104384,1706.546753,5.994637489
"aki","Aiome",750,8,225.3699941,2487.246094,6.933227539
"akj","Akajeru",0,2,582.0963039,76.31477737,4.28423357
"akl","Aklanon",435000,4,2005.725764,419.8288918,5.848471403
"akm","Akabo",0,2,216.5586456,75.4839859,4.28423357
"ako","Akurio",10,2,62.82573077,196.0343628,4.540175438
"akp","Siwu",27000,6,192.4649002,461.5729065,5.104887962
"akq","Ak",75,0,45.43045574,798.9605103,5.861983538
"akr","Araki",8,1,2.386607323,205.1739502,5.786854148
"aks","Akaselem",47500,7,935.7624523,246.9960098,4.595091581
"akt","Akolet",950,3,143.1208419,576.4456024,6.238593578
"aku","Akum",1400,2,82.2132964,882.7237549,5.439715385
"akv","Akhvakh",210,4,4226.911021,1693.179962,6.841210961
"akw","Akwa",24100,2,6158.316954,222.7364197,4.075862408
"akx","Akakede",0,4,398.121182,75.4839859,4.28423357
"aky","Akakol",0,2,143.859904,75.4839859,4.28423357
"akz","Alabama",250,2,140.2752817,100.1488571,3.535167456
"ala","Alago",35100,3,1037.938833,694.4057515,5.227744102
"alc","Qawasqar",12,0,531.6870108,449.6850586,6.020493984
"ald","Alladian",23000,5,611.3754486,170.2126007,4.189496994
"ale","Aleut",500,2,2894.150387,67.89827728,4.833440781
"alf","Alege",16300,5,60.03367984,727.786972,5.333243728
"alh","Alawa",12,5,20722.29625,177.4566803,4.077211022
"ali","Amaimon",1780,7,408.415336,2141.664124,7.110357523
"alj","Alangan",7690,5,1172.535688,355.4742889,5.609926224
"alk","Alak",4000,4,108.7296886,609.1291428,5.410788655
"all","Allar",350,1,102.0158037,859.1639404,6.48571682
"alm","Amblong",300,6,75.17402205,205.1739502,5.786854148
"aln","Gheg Albanian",6678000,7,28432.34014,1458.233765,6.576565266
"alo","Larike-Wakasihu",12600,1,52.80567675,684.2754669,6.42774415
"alp","Alune",17200,5,1289.811674,429.3963165,5.992523909
"alq","Algonquin",1760,2,1866.390058,237.2468567,4.363453865
"alr","Alutor",25,2,4692.893144,335.2675338,5.460723877
"als","Northern Tosk Albanian",1580000,4,14551.06224,904.9102936,6.24016571
"alt","Southern Altai",57400,2,48579.7353,1510.772583,6.118729234
"alu","'Are'are",17900,5,1463.076688,447.8432312,5.977975368
"alw","Alaba-K'abeena",287000,8,2005.299623,1278.113525,6.687742472
"alx","Mol",270,4,14.61980362,798.9605103,5.861983538
"aly","Alyawarr",1660,7,128473.5467,183.8561211,4.012237132
"alz","Alur",1367000,6,6275.59363,625.1963043,5.376457453
"ama","Amanayé",192,1,22672.43851,145.5338631,3.963261008
"amb","Ambo",1000,3,47.02178922,1055.950439,5.800908089
"amc","Amahuaca",310,9,11312.07362,1062.444458,4.762274504
"ame","Yanesha'",9830,6,7727.597119,3145.368011,6.849880099
"amf","Hamer-Banna",73500,9,8485.559644,1325.46106,6.516802788
"amg","Amurdak",1,3,1001.303899,169.3298397,4.232854426
"amh","Amharic",21600000,12,138607.9693,1631.497762,6.660319328
"ami","Amis",138000,3,2258.970396,1694.537476,7.072025061
"amj","Amdang",41100,4,2790.056114,330.4064026,4.541468143
"amk","Ambai",10100,3,190.0429032,472.1653748,5.660175562
"aml","War-Jaintia",41900,7,2435.007275,1381.800034,5.699781299
"amm","Ama (Papua New Guinea)",480,3,237.7539419,1750.407135,6.133559704
"amn","Amanab",4420,6,601.4685319,988.9312134,6.103123665
"amo","Amo",12300,5,499.6176074,679.3311615,5.087510467
"amp","Alamblak",1530,5,612.158758,1519.695343,6.334013462
"amq","Amahai",50,1,27.13328744,473.8993835,6.308526993
"amr","Amarakaeri",500,1,3426.345364,2081.6091,5.883772135
"ams","Southern Amami-Oshima",1800,1,284.7578959,56.97549629,4.704214096
"amt","Amto",300,2,171.6983291,988.9312134,6.103123665
"amu","Guerrero Amuzgo",30600,2,749.7280947,2254.434814,6.844264984
"amv","Ambelau",5700,1,114.1905845,894.6515503,6.546961308
"amw","Western Neo-Aramaic",15000,1,87.09185137,851.4304352,6.181758523
"amx","Anmatyerre",1000,4,28102.30623,256.2542953,4.624278307
"amy","Ami",30,3,568.8370427,176.3206736,4.499478102
"amz","Atampaya",0,3,5624.05376,75.97362518,3.983069658
"ana","Andaqui",0,3,10065.84809,3027.224365,7.2380476
"anb","Andoa",0,1,6905.904875,215.1704407,3.993082881
"anc","Ngas",400000,12,860.3465402,1071.028687,5.339579582
"and","Ansus",4600,8,193.0335863,370.4379883,5.775818348
"ane","Xârâcùù",5730,3,1641.177349,232.1738453,5.405962944
"anf","Animere",700,1,2.786510211,371.0193634,4.921035767
"anh","Nend",2000,7,254.3397711,1692.247772,6.021868944
"ani","Andi",5800,6,182.7631314,1483.36377,6.629453659
"anj","Anor",980,5,124.8175294,1692.247772,6.021868944
"ank","Goemai",200000,4,2701.311135,1071.028687,5.339579582
"anl","Anu",4000,0,185.3503624,713.7562561,5.842456818
"anm","Anal",23250,9,2443.783861,1216.67041,6.178402901
"ann","Obolo",250000,8,659.0165427,269.6792212,4.263822079
"ano","Andoque",370,4,927.1953918,78.08044338,3.605619252
"anp","Angika",743600,7,8845.66006,858.5138321,4.741089821
"anq","Jarawa (India)",250,1,894.8844314,67.76947403,3.996647477
"anr","Andh",100000,1,3278.249326,291.2916031,4.905073881
"ans","Anserma",0,2,24089.24555,2269.757507,6.694281697
"ant","Antakarinya",12,0,5235.605741,176.4272671,4.166163325
"anu","Anuak",140000,7,16940.08213,935.6672211,4.396947861
"anv","Denya",11200,10,1895.625621,727.786972,5.333243728
"anw","Anaang",1400000,3,2147.812076,338.4983521,4.893113057
"anx","Andra-Hus",1310,0,1.462429043,71.9605484,4.823676586
"any","Anyin",860000,15,22891.28697,175.0929108,4.27458787
"anz","Anem",800,3,479.0188705,613.0570679,6.149116993
"aob","Abom",15,2,1.406841653,512.1255379,4.056661487
"aoc","Pemon",6010,7,56979.47589,1310.337891,6.165827274
"aod","Andarum",1080,3,164.122842,1692.247772,6.021868944
"aoe","Angal Enen",22000,3,347.7519696,1877.011841,6.338659883
"aof","Bragat",460,5,34.95091831,798.9605103,5.861983538
"aog","Angoram",8220,5,1238.624282,753.1196289,5.36567688
"aoi","Anindilyakwa",1290,1,2590.05982,86.7170248,3.877936363
"aoj","Mufian",11000,6,235.4536046,608.9898071,5.62084341
"aok","Arhö",10,4,140.052739,232.1738453,5.405962944
"aol","Alorese",25000,7,134.4892846,568.1637573,6.116060734
"aom","Ömie",800,4,399.2576651,1962.103271,7.013994217
"aon","Bumbita Arapesh",4340,4,67.48822661,608.9898071,5.62084341
"aos","Taikat",500,6,805.3726102,1018.881248,6.221927762
"aot","Atong (India)",10000,6,970.7792513,1210.084686,5.138779879
"aox","Atorada",0,1,1090.239617,354.5265961,4.642304579
"aoz","Uab Meto",700000,5,10893.85179,316.5432124,5.266884923
"apb","Sa'a",11500,2,525.3955356,447.8432312,5.977975368
"ape","Bukiyip",16200,4,830.6774282,608.9898071,5.62084341
"apg","Ampanang",30000,5,2526.323467,435.463913,5.217139721
"aph","Athpariya",5530,6,68.68098285,2185.364502,6.084828138
"api","Apiaká",1,2,2343.407802,157.6858342,4.35777696
"apj","Jicarilla Apache",300,2,1336.698677,1697.095215,6.324881077
"apk","Kiowa Apache",3,1,122.5834892,252.8580627,4.292620659
"apm","Mescalero-Chiricahua Apache",1500,1,1538.895013,1158.792358,6.072377205
"apn","Apinayé",1260,1,3609.236749,148.3602524,4.50253129
"apo","Apalik",1200,0,4.55679011,576.4456024,6.238593578
"app","Apma",7800,3,200.1068948,235.062912,5.705207348
"apr","Arop-Lokep",3020,0,520.8765062,1796.082153,7.287487507
"aps","Arop-Sissano",1150,2,38.82865555,512.5372391,4.709376335
"apt","Apatani",28400,0,2454.072914,2735.610138,6.813772917
"apu","Apurinã",2780,1,3724.833128,176.3286947,4.16329813
"apw","Western Apache",14000,1,8001.679453,1066.556213,6.111118674
"apx","Aputai",150,2,113.8859481,549.9142507,6.18377924
"apy","Apalaí",450,2,2475.876366,262.7168579,4.392792225
"apz","Safeyoka",2390,5,730.0481264,1725.962646,6.966411273
"aqc","Archi",970,2,64.41484443,2497.070679,7.106041431
"aqg","Arigidi",48000,5,294.9155973,349.9607239,4.972217719
"aqm","Atohwaim",1000,3,348.8276071,582.7323101,3.482729435
"aqn","Northern Alta",200,1,25.85458687,910.3200378,6.166534662
"aqr","Arhâ",170,3,123.3097805,232.1738453,5.405962944
"ard","Arabana",12,3,35688.40828,139.8970757,4.122524261
"are","Western Arrarnta",1000,1,43528.81487,356.8418274,4.762540579
"arg","Aragonese",10000,5,5636.633541,1060.124557,5.711997747
"arh","Arhuaco",8000,3,2673.620447,1799.599609,6.232357502
"ari","Arikara",10,2,835.1163891,252.113903,4.576221585
"arj","Arapaso",268,1,9411.248983,90.4151535,3.098932505
"ark","Arikapú",2,3,774.8101475,172.0365829,3.950148344
"arl","Arabela",50,2,983.3343635,61.33057785,3.47655654
"arn","Mapudungun",258410,2,160105.3158,1055.020264,6.33368063
"aro","Araona",110,0,357.637593,176.5118408,3.469847083
"arp","Arapaho",1000,2,5121.095977,1915.356445,6.632300377
"arr","Karo (Brazil)",210,1,1634.267858,157.4550934,3.991405487
"arv","Arbore",7210,3,1683.492234,1325.46106,6.516802788
"arw","Lokono",2450,6,11464.37652,125.8925438,4.037052989
"arx","Aruá (Rondonia State)",12,1,357.4610772,220.3445892,4.325234175
"asa","Asu (Tanzania)",500000,8,8368.333566,810.0170898,5.971628189
"asb","Assiniboine",0,5,2931.043153,413.2230072,5.234216213
"asc","Casuarina Coast Asmat",9000,6,1109.725409,582.7323101,3.482729435
"asg","Western-Kambari-Cishingini",100000,16,20035.78639,192.2290497,4.465442181
"ash","Aewa",0,1,9623.073536,585.7682257,4.042750835
"asi","Buruwai",1000,3,1357.348503,518.9897461,5.976465225
"asj","Nsari",7000,5,114.2205856,1108.035416,5.829763412
"ask","Ashkun",40000,4,932.0847781,3131.360229,7.098942757
"asl","Asilulu",8760,1,42.97284345,684.2754669,6.42774415
"asm","Assamese",12800000,19,52091.35658,2148.637939,6.534326077
"asn","Xingú Asuriní",120,3,7338.452451,145.0977859,4.130585074
"aso","Dano",30000,4,214.8811632,2487.246094,6.933227539
"asr","Asuri",7000,3,1656.096747,481.947052,5.178562403
"ass","Ipulo-Olulu",2500,8,359.455172,1106.72113,5.925098896
"ast","Asturian-Leonese-Cantabrian",110000,4,18342.97207,583.3797913,6.029411197
"asu","Tocantins Asurini",300,1,1946.113344,123.6897354,3.718955278
"asv","Asoa",25500,1,822.3698914,218.5772533,4.092846632
"asx","Muratayak",810,9,96.66876363,1796.082153,7.287487507
"asy","Yaosakor Asmat",2000,1,506.9244523,1146.042847,4.748791933
"asz","As",230,2,103.8698821,467.0240631,5.493963361
"ata","Pele-Ata",2000,2,582.342746,549.6293182,6.487257719
"atb","Zaiwa",110000,9,3285.785455,1525.952393,6.605379581
"atd","Ata Manobo",26700,5,1725.306028,941.1138306,6.432351112
"ate","Mand",60,3,3.074321203,2487.246094,6.933227539
"atg","Ivbie North-Okpela-Arhe",20000,5,555.977351,351.4570923,5.167666912
"ati","Attié",381000,6,7744.326305,175.0929108,4.27458787
"atj","Atikamekw",5920,1,789.72738,330.5034485,4.658712029
"atk","Ati",1500,3,653.1965577,445.7074127,5.946660519
"atl","Mt. Iraya Agta",150,4,105.2993042,202.9966202,5.290183783
"atm","Ata",2,2,3728.271746,482.7392883,5.948838234
"atn","Ashtiani",21100,3,5180.559069,1636.104034,6.636294961
"ato","Atong",4200,6,38.11386578,1106.72113,5.925098896
"atp","Pudtol Atta",710,1,15.11742921,777.3690186,6.308967113
"atq","Aralle-Tabulahan",12000,4,454.7585725,1520.108154,6.803731918
"atr","Waimiri-Atroari",930,1,30972.42281,107.4480057,3.832158566
"ats","Gros Ventre",10,3,328.2828283,310.0194778,4.963063478
"att","Pamplona Atta",1000,2,91.74695149,777.3690186,6.308967113
"atu","Reel",50000,3,1523.319645,192.9604321,3.523537517
"atv","Northern Altai",57400,1,10499.03273,1467.58194,6.269533873
"atx","Arutani",42,4,2900.442348,850.8426361,5.844162941
"aty","Aneityum",900,0,158.2772385,164.2046356,3.963992119
"atz","Arta",11,1,76.9541718,1322.505371,6.531216621
"aua","Asumboa",10,1,20.00220512,0,4.557117939
"aub","Alugu",3500,4,836.0004929,802.500473,6.261995912
"auc","Waorani",1650,3,8872.153219,1108.013191,4.687797546
"aud","Anuta",270,0,0.34196787,NA,NA
"aug","Aguna",3470,5,991.9974429,338.9494247,4.765662193
"auh","Aushi",100000,4,13005.68873,418.9635201,4.765871048
"aui","Anuki",890,4,159.6840559,1136.979818,6.427420934
"auj","Awjilah",3000,1,3628.658461,132.8119068,3.718007028
"auk","Heyo",2710,4,290.8089772,798.9605103,5.861983538
"aul","Aulua",750,4,72.31567175,194.9789124,5.632886171
"aum","Asu (Nigeria)",5000,4,572.4856353,256.430378,4.70682919
"aun","Molmo One",500,5,28.81205235,798.9605103,5.861983538
"aup","Makayam",1300,4,498.2559114,320.3540726,3.526711643
"auq","Anus",320,3,103.3888354,580.927002,5.985350609
"aur","Aruek",740,4,435.7004014,608.9898071,5.62084341
"aut","Austral",3000,0,100.1624843,0,NA
"auu","Auye",350,4,1028.210506,1554.899414,7.059056282
"auw","Awyi",350,2,173.9127053,1018.881248,6.221927762
"aux","Aurê y Aurá",0,1,25122.55045,173.0083351,4.355029821
"auy","Awiyaana",11100,7,343.7381681,1916.283508,6.958115339
"ava","Avar",761000,20,9729.407997,1483.36377,6.629453659
"avb","Avau",620,3,30.5257839,576.4456024,6.238593578
"avd","Alviri-Vidari",0,1,291.5712894,1035.230743,6.361243963
"ave","Avestan",0,4,28829.78665,1076.600972,6.401604176
"avi","Avikam",21000,2,382.0450442,179.9412308,4.259774923
"avn","Avatime",24000,4,107.2510691,371.0193634,4.921035767
"avs","Aushiri",0,2,10835.77625,76.77628326,3.276979923
"avt","Au",8000,5,219.4572692,798.9605103,5.861983538
"avu","Avokaya",65000,7,4631.453114,312.4520416,4.600470781
"avv","Avá-Canoeiro",14,1,3432.796043,445.9293416,5.137523015
"awa","Awadhi",3032000,6,29669.57201,73.96624756,2.936330438
"awb","Awa (Papua New Guinea)",2050,5,289.9220972,1916.283508,6.958115339
"awc","Cicipu",20000,4,668.4319062,245.196907,4.604712725
"awe","Awetí",170,1,546.8935181,154.9240875,3.815508366
"awh","Awbono",100,6,531.3219459,2090.648254,5.728715658
"awi","Aekyom",8000,6,4738.536706,2511.883057,6.163995743
"awk","Awabakal",0,4,7875.887918,593.1567993,5.755582333
"awm","Arawum",60,2,31.4517669,2141.664124,7.110357523
"awn","Awngi",489000,4,13214.34802,1224.5554,6.174691995
"awo","Awak",6000,3,68.68952108,525.9998779,5.291288614
"awr","Awera",70,4,479.3346167,962.6687012,6.417437315
"aws","South Awyu",9340,6,1988.966467,32.45097351,2.679110289
"awt","Araweté",280,3,7338.452451,145.0977859,4.130585074
"awu","Central Awyu",7500,9,4793.611438,949.4413681,3.638893485
"awv","Kia River Awyu",2300,4,1497.25657,1158.072285,4.179676354
"aww","Auwon",400,0,171.0494216,798.9605103,5.861983538
"awx","Awara",1900,4,210.6408862,1785.090088,7.233548403
"awy","Edera Awyu",3870,6,1778.542572,126.9871597,2.978016496
"axg","Mato Grosso Arára",150,1,43828.49386,143.9453888,4.042685986
"axk","Yaka (Central African Republic)",30000,25,72248.95737,125.2830887,3.498008966
"axx","Xaragure",760,2,1248.860362,264.9994049,5.112661839
"aya","Awar",1090,2,35.55971426,897.2494507,5.110510349
"ayb","Ayizo Gbe",227000,8,2306.11399,227.7495313,4.765662193
"ayc","Southern Aymara",219000,2,9295.170175,2683.000488,7.002959609
"ayd","Yintyinka-Ayabadhu",0,5,4978.382795,223.4882202,4.453605175
"aye","Ayere",3000,5,155.1294324,320.4766235,5.072287798
"ayg","Ginyanga",12000,6,588.5828821,376.9318085,4.998162508
"ayi","Leyigha",10000,4,17.24827052,348.8528137,4.741388559
"ayk","Akuku",0,5,153.8678394,351.4570923,5.167666912
"ayo","Ayoreo",4300,11,70112.4316,150.656868,3.511514783
"ayq","Ayi (Papua New Guinea)",430,2,142.4548011,798.9605103,5.861983538
"ayr","Central Aymara",2589000,8,252678.1168,2120.704834,6.405930638
"ayt","Bataan Ayta",1000,1,69.87881092,378.2962646,5.941675186
"ayu","Ayu",800,0,0.261949741,684.9346924,5.532274246
"ayz","Maybrat-Karon",20000,11,8377.771006,649.7730103,6.012153625
"aza","Azha",53000,4,1727.853625,880.9301453,6.089141846
"azb","South Azerbaijani",16660000,12,132091.3795,1263.544067,6.415935516
"azg","San Pedro Amuzgos Amuzgo",3480,3,58.12837297,2254.434814,6.844264984
"azj","North Azerbaijani",7094000,15,86057.27882,2275.458659,7.001473268
