lemma,form,paradigm_slot,phonemic_form
jellõ,jelāg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;1,j e l ɑː ɡ
jellõ,jelām,V;LGSPEC3,j e l ɑː m
jellõ,jelāksmõ,V;ACT;FIN;COND;POS;PRS;PL;1,j e l ɑː k s m ə
jellõ,jelābõd,V;ACT;FIN;IND;POS;PRS;PL;3,j e l ɑː b ə d
jellõ,äb jelāt,V;ACT;FIN;IND;NEG;PRS;PL;3,æ b j e l ɑː t
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;PL;3,u m j e l ɑː m ə s t
jellõ,līb jellõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;3,l iː b j e lː ə n
jellõ,jelīz,V;ACT;FIN;IND;POS;PST;SG;1,j e l iː z
jellõ,jelāmõt,V;LGSPEC4,j e l ɑː m ə t
jellõ,äb jelāksmõ,V;ACT;FIN;COND;NEG;PRS;PL;1,æ b j e l ɑː k s m ə
jellõ,jelād,V;ACT;FIN;IND;POS;PRS;SG;2,j e l ɑː d
jellõ,jellõ,V;INF,j e lː ə
jellõ,äd jel,V;ACT;FIN;IND;NEG;PRS;SG;2,æ d j e l
jellõ,algid jelāgid!,V;ACT;FIN;IMP;PRS;NEG;PL;2,ɑ l ɡ i d j e l ɑː ɡ i d
jellõ,jelīztõ,V;ACT;FIN;IND;POS;PST;PL;2,j e l iː z t ə
jellõ,iz jel,V;ACT;FIN;IND;NEG;PST;SG;3,i z j e l
jellõ,jelāji,V;ACT;FIN;QUOT;POS;PRS;SG;2,j e l ɑː j i
jellõ,ät lītõ jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;2;LGSPEC5,æ t̪ l iː t ə j e lː ə n d̪
jellõ,ät līt jellõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;2,æ t̪ l iː t j e lː ə n d̪
jellõ,jelāt,V;ACT;FIN;IND;POS;PRS;PL;2,j e l ɑː t
jellõ,jeldõd,V;PASS;V.PTCP,j e l d ə d
jellõ,ät jelākstõ,V;ACT;FIN;COND;NEG;PRS;PL;2,æ t̪ j e l ɑː k s t ə
jellõ,jelāks,V;ACT;FIN;COND;POS;PRS;SG;3,j e l ɑː k s
jellõ,algõd jelāgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;1,ɑ l ɡ ə d j e l ɑː ɡ ə d
jellõ,äb lī jellõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;1,æ b l iː j e lː ə n
jellõ,jelāji,V;ACT;FIN;QUOT;POS;PRS;SG;1,j e l ɑː j i
jellõ,jelīzt,V;ACT;FIN;IND;POS;PST;SG;2,j e l iː z t
jellõ,jelāgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;1,j e l ɑː ɡ ə d
jellõ,izt jelāt,V;ACT;FIN;IND;NEG;PST;PL;3,i z t j e l ɑː t
jellõ,äb jelāks,V;ACT;FIN;COND;NEG;PRS;SG;1,æ b j e l ɑː k s
jellõ,lītõ jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;2;LGSPEC5,l iː t ə j e lː ə n d
jellõ,līt jellõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;2,l iː t j e lː ə n d
jellõ,jelā!,V;ACT;FIN;IMP;PRS;POS;SG;2,j e l ɑː
jellõ,äb jel,V;ACT;FIN;IND;NEG;PRS;SG;3,æ b j e l
jellõ,jelākst,V;ACT;FIN;COND;POS;PRS;SG;2,j e l ɑː k s t
jellõ,jelīztõ,V;ACT;FIN;IND;POS;PST;PL;3,j e l iː z t ə
jellõ,jellõs,V;LGSPEC2,j e lː ə s
jellõ,jellõn,V;ACT;V.PTCP,j e lː ə n
jellõ,izt jel,V;ACT;FIN;IND;NEG;PST;SG;2,i z t j e l
jellõ,jelām,V;ACT;FIN;IND;POS;PRS;PL;1,j e l ɑː m
jellõ,jelāb,V;ACT;FIN;IND;POS;PRS;SG;1,j e l ɑː b
jellõ,jelāji,V;ACT;FIN;QUOT;POS;PRS;SG;3,j e l ɑː j i
jellõ,äb jelākstõ,V;ACT;FIN;COND;NEG;PRS;PL;3,æ b j e l ɑː k s t ə
jellõ,jelākstõ,V;ACT;FIN;COND;POS;PRS;PL;3,j e l ɑː k s t ə
jellõ,alā jellõ!,V;ACT;FIN;IMP;PRS;NEG;SG;2,ɑ l ɑː j e lː ə
jellõ,um jelāmõst,V;ACT;FIN;DEB;POS;PRS;PL;1,u m j e l ɑː m ə s t
jellõ,jelīz,V;ACT;FIN;IND;POS;PST;SG;3,j e l iː z
jellõ,algõ jelāg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;1,ɑ l ɡ ə j e l ɑː ɡ
jellõ,jelāg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;3,j e l ɑː ɡ
jellõ,izt jelāt,V;ACT;FIN;IND;NEG;PST;PL;2,i z t j e l ɑː t
jellõ,äd jelākst,V;ACT;FIN;COND;NEG;PRS;SG;2,æ d̪ j e l ɑː k s t
jellõ,äd lī jellõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;2,æ d̪ l iː j e lː ə n
jellõ,līd jellõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;2,l iː d j e lː ə n
jellõ,äb jelām,V;ACT;FIN;IND;NEG;PRS;PL;1,æ b j e l ɑː m
kūlõ,algõd kūlõgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;2,ɑ l ɡ ə d k uː l ə ɡ ə d
kūlõ,iz kūl,V;ACT;FIN;IND;NEG;PST;SG;1,i z k uː l
kūlõ,lībõd kūlõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;3,l iː b ə d k uː l ə n d
kūlõ,kūlõgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;3,k uː l ə ɡ ə d
kūlõ,kūlõgid!,V;ACT;FIN;IMP;PRS;POS;PL;2,k uː l ə ɡ i d
kūlõ,äb lītõ kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3;LGSPEC5,æ b l iː t ə k uː l ə n d
kūlõ,äb līt kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3,æ b l iː t k uː l ə n d
kūlõ,kūlõkstõ,V;ACT;FIN;COND;POS;PRS;PL;2,k uː l ə k s t ə
kūlõ,līmõ kūlõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1;LGSPEC5,l iː m ə k uː l ə n d
kūlõ,līm kūlõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1,l iː m k uː l ə n d
kūlõ,um kūlõmõst,V;ACT;FIN;DEB;POS;PRS;SG;1,u m k uː l ə m ə s t
kūlõ,algõ kūlõg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;2,ɑ l ɡ ə k uː l ə ɡ
kūlõ,kūlõg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;2,k uː l ə ɡ
kūlõ,iz kūlõm,V;ACT;FIN;IND;NEG;PST;PL;1,i z k uː l ə m
kūlõ,kūlijid,V;ACT;FIN;QUOT;POS;PRS;PL;1,k uː l i j i d
kūlõ,kūlõks,V;ACT;FIN;COND;POS;PRS;SG;1,k uː l ə k s
kūlõ,līb kūlõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;1,l iː b k uː l ə n
kūlõ,ät kūlõt,V;ACT;FIN;IND;NEG;PRS;PL;2,æ t̪ k uː l ə t
kūlõ,um kūlõmõst,V;ACT;FIN;DEB;POS;PRS;SG;3,u m k uː l ə m ə s t
kūlõ,äb līmõ kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1;LGSPEC5,æ b l iː m ə k uː l ə n d
kūlõ,äb līm kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1,æ b l iː m k uː l ə n d
kūlõ,algõd kūlõgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;3,ɑ l ɡ ə d k uː l ə ɡ ə d
kūlõ,kūlijid,V;ACT;FIN;QUOT;POS;PRS;PL;3,k uː l i j i d
kūlõ,äb kūlõks,V;ACT;FIN;COND;NEG;PRS;SG;3,æ b k uː l ə k s
kūlõ,kūlõb,V;ACT;FIN;IND;POS;PRS;SG;3,k uː l ə b
kūlõ,kūlõgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;2,k uː l ə ɡ ə d
kūlõ,äb kūl,V;ACT;FIN;IND;NEG;PRS;SG;1,æ b k uː l
kūlõ,äb lī kūlõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;3,æ b l iː k uː l ə n
kūlõ,kūlizmõ,V;ACT;FIN;IND;POS;PST;PL;1,k uː l i z m ə
kūlõ,kūlijid,V;ACT;FIN;QUOT;POS;PRS;PL;2,k uː l i j i d
kūlõ,um kūlõmõst,V;ACT;FIN;DEB;POS;PRS;SG;2,u m k uː l ə m ə s t
kūlõ,um kūlõmõst,V;ACT;FIN;DEB;POS;PRS;PL;2,u m k uː l ə m ə s t
kūlõ,algõ kūlõg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;3,ɑ l ɡ ə k uː l ə ɡ
kūlõ,kūlõg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;1,k uː l ə ɡ
kūlõ,kūlõm,V;LGSPEC3,k uː l ə m
kūlõ,kūlõksmõ,V;ACT;FIN;COND;POS;PRS;PL;1,k uː l ə k s m ə
kūlõ,kūlõbõd,V;ACT;FIN;IND;POS;PRS;PL;3,k uː l ə b ə d
kūlõ,äb kūlõt,V;ACT;FIN;IND;NEG;PRS;PL;3,æ b k uː l ə t
kūlõ,um kūlõmõst,V;ACT;FIN;DEB;POS;PRS;PL;3,u m k uː l ə m ə s t
kūlõ,līb kūlõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;3,l iː b k uː l ə n
kūlõ,kūliz,V;ACT;FIN;IND;POS;PST;SG;1,k uː l i z
kūlõ,kūlõmõt,V;LGSPEC4,k uː l ə m ə t
kūlõ,äb kūlõksmõ,V;ACT;FIN;COND;NEG;PRS;PL;1,æ b k uː l ə k s m ə
kūlõ,kūlõd,V;ACT;FIN;IND;POS;PRS;SG;2,k uː l ə d
kūlõ,kūlõ,V;INF,k uː l ə
kūlõ,äd kūl,V;ACT;FIN;IND;NEG;PRS;SG;2,æ d̪ k uː l
kūlõ,algid kūlõgid!,V;ACT;FIN;IMP;PRS;NEG;PL;2,ɑ l ɡ i d k uː l ə ɡ i d
kūlõ,kūliztõ,V;ACT;FIN;IND;POS;PST;PL;2,k uː l i z t ə
kūlõ,iz kūl,V;ACT;FIN;IND;NEG;PST;SG;3,i z k uː l
kūlõ,kūliji,V;ACT;FIN;QUOT;POS;PRS;SG;2,k uː l i j i
kūlõ,ät lītõ kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;2;LGSPEC5,æ t̪ l iː t ə k uː l ə n d̪
kūlõ,ät līt kūlõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;2,æ t̪ l iː t k uː l ə n d̪
kūlõ,kūlõt,V;ACT;FIN;IND;POS;PRS;PL;2,k uː l ə t
kūlõ,kūldõd,V;PASS;V.PTCP,k uː l d ə d
kūlõ,ät kūlõkstõ,V;ACT;FIN;COND;NEG;PRS;PL;2,æ t̪ k uː l ə k s t ə
kūlõ,kūlõks,V;ACT;FIN;COND;POS;PRS;SG;3,k uː l ə k s
kūlõ,algõd kūlõgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;1,ɑ l ɡ ə d k uː l ə ɡ ə d
kūlõ,äb lī kūlõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;1,æ b l iː k uː l ə n
kūlõ,kūliji,V;ACT;FIN;QUOT;POS;PRS;SG;1,k uː l i j i
kūlõ,kūlizt,V;ACT;FIN;IND;POS;PST;SG;2,k uː l i z t
kūlõ,kūlõgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;1,k uː l ə ɡ ə d
kūlõ,izt kūlõt,V;ACT;FIN;IND;NEG;PST;PL;3,i z t k uː l ə t
kūlõ,äb kūlõks,V;ACT;FIN;COND;NEG;PRS;SG;1,æ b k uː l ə k s
kūlõ,lītõ kūlõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;2;LGSPEC5,l iː t ə k uː l ə n d
kūlõ,līt kūlõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;2,l iː t k uː l ə n d
kūlõ,kūl!,V;ACT;FIN;IMP;PRS;POS;SG;2,k uː l
kūlõ,äb kūl,V;ACT;FIN;IND;NEG;PRS;SG;3,æ b k uː l
kūlõ,kūlõkst,V;ACT;FIN;COND;POS;PRS;SG;2,k uː l ə k s t
kūlõ,kūliztõ,V;ACT;FIN;IND;POS;PST;PL;3,k uː l i z t ə
kūlõ,kūlõs,V;LGSPEC2,k uː l ə s
kūlõ,kūlõn,V;ACT;V.PTCP,k uː l ə n
kūlõ,izt kūl,V;ACT;FIN;IND;NEG;PST;SG;2,i z t k uː l
kūlõ,kūlõm,V;ACT;FIN;IND;POS;PRS;PL;1,k uː l ə m
kūlõ,kūlõb,V;ACT;FIN;IND;POS;PRS;SG;1,k uː l ə b
kūlõ,kūliji,V;ACT;FIN;QUOT;POS;PRS;SG;3,k uː l i j i
kūlõ,äb kūlõkstõ,V;ACT;FIN;COND;NEG;PRS;PL;3,æ b k uː l ə k s t ə
kūlõ,kūlõkstõ,V;ACT;FIN;COND;POS;PRS;PL;3,k uː l ə k s t ə
kūlõ,alā kūl!,V;ACT;FIN;IMP;PRS;NEG;SG;2,ɑ l ɑː k uː l
kūlõ,um kūlõmõst,V;ACT;FIN;DEB;POS;PRS;PL;1,u m k uː l ə m ə s t
kūlõ,kūliz,V;ACT;FIN;IND;POS;PST;SG;3,k uː l i z
kūlõ,algõ kūlõg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;1,ɑ l ɡ ə k uː l ə ɡ
kūlõ,kūlõg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;3,k uː l ə ɡ
kūlõ,izt kūlõt,V;ACT;FIN;IND;NEG;PST;PL;2,i z t k uː l ə t
kūlõ,äd kūlõkst,V;ACT;FIN;COND;NEG;PRS;SG;2,æ d̪ k uː l ə k s t
kūlõ,äd lī kūlõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;2,æ d̪ l iː k uː l ə n
kūlõ,līd kūlõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;2,l iː d̪ k uː l ə n
kūlõ,äb kūlõm,V;ACT;FIN;IND;NEG;PRS;PL;1,æ b k uː l ə m
likkõ,algõd likkõgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;2,ɑ l ɡ ə d l i kː ə ɡ ə d
likkõ,iz lik,V;ACT;FIN;IND;NEG;PST;SG;1,i z l i k
likkõ,lībõd likkõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;3,l iː b ə d l i kː ə n d
likkõ,likkõgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;3,l i kː ə ɡ ə d
likkõ,likkõgid!,V;ACT;FIN;IMP;PRS;POS;PL;2,l i kː ə ɡ i d̪
likkõ,äb lītõ likkõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3;LGSPEC5,æ b l iː t ə l i kː ə n d
likkõ,äb līt likkõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3,æ b l iː t l i kː ə n d
likkõ,likkõkstõ,V;ACT;FIN;COND;POS;PRS;PL;2,l i kː ə k s t ə
likkõ,līmõ likkõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1;LGSPEC5,l iː m ə l i kː ə n d̪
likkõ,līm likkõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;1,l iː m l i kː ə n d̪
likkõ,um likkõmõst,V;ACT;FIN;DEB;POS;PRS;SG;1,u m
likkõ,algõ likkõg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;2,ɑ l ɡ ə l i kː ə ɡ
likkõ,likkõg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;2,l i kː ə ɡ
likkõ,iz likkõm,V;ACT;FIN;IND;NEG;PST;PL;1,i z l i kː ə m
likkõ,likkijid,V;ACT;FIN;QUOT;POS;PRS;PL;1,l i kː i j i d
likkõ,likkõks,V;ACT;FIN;COND;POS;PRS;SG;1,l i kː ə k s
likkõ,līb likkõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;1,l iː b l i kː ə n
likkõ,ät likkõt,V;ACT;FIN;IND;NEG;PRS;PL;2,æ t̪ l i kː ə t̪
likkõ,um likkõmõst,V;ACT;FIN;DEB;POS;PRS;SG;3,u m
likkõ,äb līmõ likkõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1;LGSPEC5,æ b l iː m ə l i kː ə n d
likkõ,äb līm likkõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;1,æ b l iː m l i kː ə n d
likkõ,algõd likkõgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;3,ɑ l ɡ ə d l i kː ə ɡ ə d
likkõ,likkijid,V;ACT;FIN;QUOT;POS;PRS;PL;3,l i kː i j i d
likkõ,äb likkõks,V;ACT;FIN;COND;NEG;PRS;SG;3,æ b l i kː ə k s
likkõ,likūb,V;ACT;FIN;IND;POS;PRS;SG;3,l i k uː b
likkõ,likkõgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;2,l i kː ə ɡ ə d
likkõ,äb lik,V;ACT;FIN;IND;NEG;PRS;SG;1,æ b l i k
likkõ,äb lī likkõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;3,æ b l iː l i kː ə n
likkõ,likīzmõ,V;ACT;FIN;IND;POS;PST;PL;1,l i k iː z m ə
likkõ,likkijid,V;ACT;FIN;QUOT;POS;PRS;PL;2,l i kː i j i d
likkõ,um likkõmõst,V;ACT;FIN;DEB;POS;PRS;SG;2,u m
likkõ,um likkõmõst,V;ACT;FIN;DEB;POS;PRS;PL;2,u m
likkõ,algõ likkõg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;3,ɑ l ɡ ə l i kː ə ɡ
likkõ,likkõg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;1,l i kː ə ɡ
likkõ,likkõm,V;LGSPEC3,l i kː ə m
likkõ,likkõksmõ,V;ACT;FIN;COND;POS;PRS;PL;1,l i kː ə k s m ə
likkõ,likkõbõd,V;ACT;FIN;IND;POS;PRS;PL;3,l i kː ə b ə d
likkõ,äb likkõt,V;ACT;FIN;IND;NEG;PRS;PL;3,æ b l i kː ə t
likkõ,um likkõmõst,V;ACT;FIN;DEB;POS;PRS;PL;3,u m
likkõ,līb likkõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;3,l iː b l i kː ə n
likkõ,likīz,V;ACT;FIN;IND;POS;PST;SG;1,l i k iː z
likkõ,likkõmõt,V;LGSPEC4,l i kː ə m ə t
likkõ,äb likkõksmõ,V;ACT;FIN;COND;NEG;PRS;PL;1,æ b l i kː ə k s m ə
likkõ,likūd,V;ACT;FIN;IND;POS;PRS;SG;2,l i k uː d̪
likkõ,likkõ,V;INF,l i kː ə
likkõ,äd lik,V;ACT;FIN;IND;NEG;PRS;SG;2,æ d̪ l i k
likkõ,algid likkõgid!,V;ACT;FIN;IMP;PRS;NEG;PL;2,ɑ l ɡ i d l i kː ə ɡ i d
likkõ,likīztõ,V;ACT;FIN;IND;POS;PST;PL;2,l i k iː z t ə
likkõ,iz lik,V;ACT;FIN;IND;NEG;PST;SG;3,i z l i k
likkõ,likkiji,V;ACT;FIN;QUOT;POS;PRS;SG;2,l i kː i j i
likkõ,ät lītõ likkõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;2;LGSPEC5,æ t̪ l iː t ə l i kː ə n d̪
likkõ,ät līt likkõnd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;2,æ t̪ l iː t l i kː ə n d̪
likkõ,likkõt,V;ACT;FIN;IND;POS;PRS;PL;2,l i kː ə t
likkõ,liktõd,V;PASS;V.PTCP,l i k t ə d
likkõ,ät likkõkstõ,V;ACT;FIN;COND;NEG;PRS;PL;2,æ t̪ l i kː ə k s t ə
likkõ,likkõks,V;ACT;FIN;COND;POS;PRS;SG;3,l i kː ə k s
likkõ,algõd likkõgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;1,ɑ l ɡ ə d l i kː ə ɡ ə d
likkõ,äb lī likkõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;1,æ b l iː l i kː ə n
likkõ,likkiji,V;ACT;FIN;QUOT;POS;PRS;SG;1,l i kː i j i
likkõ,likīzt,V;ACT;FIN;IND;POS;PST;SG;2,l i k iː z t
likkõ,likkõgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;1,l i kː ə ɡ ə d
likkõ,izt likkõt,V;ACT;FIN;IND;NEG;PST;PL;3,i z t l i kː ə t
likkõ,äb likkõks,V;ACT;FIN;COND;NEG;PRS;SG;1,æ b l i kː ə k s
likkõ,lītõ likkõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;2;LGSPEC5,l iː t ə l i kː ə n d̪
likkõ,līt likkõnd,V;ACT;FIN;IND;POS;FUT;PRF;PL;2,l iː t l i kː ə n d
likkõ,lik!,V;ACT;FIN;IMP;PRS;POS;SG;2,l i k
likkõ,äb lik,V;ACT;FIN;IND;NEG;PRS;SG;3,æ b l i k
likkõ,likkõkst,V;ACT;FIN;COND;POS;PRS;SG;2,l i kː ə k s t
likkõ,likīztõ,V;ACT;FIN;IND;POS;PST;PL;3,l i k iː z t ə
likkõ,likkõs,V;LGSPEC2,l i kː ə s
likkõ,likkõn,V;ACT;V.PTCP,l i kː ə n
likkõ,izt lik,V;ACT;FIN;IND;NEG;PST;SG;2,i z t l i k
likkõ,likkõm,V;ACT;FIN;IND;POS;PRS;PL;1,l i kː ə m
likkõ,likūb,V;ACT;FIN;IND;POS;PRS;SG;1,l i k uː b
likkõ,likkiji,V;ACT;FIN;QUOT;POS;PRS;SG;3,l i kː i j i
likkõ,äb likkõkstõ,V;ACT;FIN;COND;NEG;PRS;PL;3,æ b l i kː ə k s t ə
likkõ,likkõkstõ,V;ACT;FIN;COND;POS;PRS;PL;3,l i kː ə k s t ə
likkõ,alā lik!,V;ACT;FIN;IMP;PRS;NEG;SG;2,ɑ l ɑː l i k
likkõ,um likkõmõst,V;ACT;FIN;DEB;POS;PRS;PL;1,u m
likkõ,likīz,V;ACT;FIN;IND;POS;PST;SG;3,l i k iː z
likkõ,algõ likkõg,V;ACT;FIN;LGSPEC1;NEG;PRS;SG;1,ɑ l ɡ ə l i kː ə ɡ
likkõ,likkõg,V;ACT;FIN;LGSPEC1;POS;PRS;SG;3,l i kː ə ɡ
likkõ,izt likkõt,V;ACT;FIN;IND;NEG;PST;PL;2,i z t l i kː ə t
likkõ,äd likkõkst,V;ACT;FIN;COND;NEG;PRS;SG;2,æ d̪ l i kː ə k s t
likkõ,äd lī likkõn,V;ACT;FIN;IND;NEG;FUT;PRF;SG;2,æ d̪ l iː l i kː ə n
likkõ,līd likkõn,V;ACT;FIN;IND;POS;FUT;PRF;SG;2,l iː d̪ l i kː ə n
likkõ,äb likkõm,V;ACT;FIN;IND;NEG;PRS;PL;1,æ b l i kː ə m
līdõ,algõd līgõd,V;ACT;FIN;LGSPEC1;NEG;PRS;PL;2,ɑ l ɡ ə d l iː ɡ ə d
līdõ,iz lī,V;ACT;FIN;IND;NEG;PST;SG;1,i z l iː
līdõ,līnõd,V;ACT;FIN;IND;POS;FUT;PRF;PL;3;LGSPEC6,l iː n ə d
līdõ,lībõd ,V;ACT;FIN;IND;POS;FUT;PRF;PL;3,l iː b ə d
līdõ,līgõd,V;ACT;FIN;LGSPEC1;POS;PRS;PL;3,l iː ɡ ə d
līdõ,līgid!,V;ACT;FIN;IMP;PRS;POS;PL;2,l iː ɡ i d
līdõ,äb lītõ līnõd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3;LGSPEC5,æ b l iː t ə l iː n ə d
līdõ,äb līt līnõd,V;ACT;FIN;IND;NEG;FUT;PRF;PL;3,æ b l iː t l iː n ə d
