lemma,form,paradigm_slot,phonemic_form
draen,drait,"V;IND;SG;3;PRS",d r a i t
draen,drata,"V;IND;SG;3;PST",d r a t a
draen,draem,"V;IND;PL;1;PRS",d r a e̯ m
draen,draemes,"V;IND;PL;1;PRS",d r a e̯ m e s
draen,dratum,"V;IND;PL;1;PST",d r aː t u m
draen,dratumes,"V;IND;PL;1;PST",d r a t u m e s
draen,draet,"V;IND;PL;2;PRS",d r a e t
draen,dratut,"V;IND;PL;2;PST",d r a t u t
draen,draent,"V;IND;PL;3;PRS",d r a e n t
draen,dratun,"V;IND;PL;3;PST",d r a t u n
draen,drae,"V;SBJV;SG;1;PRS",d r a e
draen,drati,"V;SBJV;SG;1;PST",d r a t i
draen,draes,"V;SBJV;SG;2;PRS",d r a e s
draen,dratis,"V;SBJV;SG;2;PST",d r a t i s
draen,drae,"V;SBJV;SG;3;PRS",d r a e
draen,drati,"V;SBJV;SG;3;PST",d r a t i
draen,draem,"V;SBJV;PL;1;PRS",d r a e̯ m
draen,draemes,"V;SBJV;PL;1;PRS",d r a e̯ m e s
draen,dratim,"V;SBJV;PL;1;PST",d r a t i m
draen,dratimes,"V;SBJV;PL;1;PST",d r a t i m e s
draen,draet,"V;SBJV;PL;2;PRS",d r a e t
draen,dratit,"V;SBJV;PL;2;PST",d r a t i t
draen,draen,"V;SBJV;PL;3;PRS",d r a e n
draen,dratin,"V;SBJV;PL;3;PST",d r a t i n
draen,drai,"V;IMP;SG;PRS",d r a j
draen,draet,"V;IMP;PL;PRS",d r a e t
gisahhan,gisahhan,"V;NFIN",ɡ i s a x h a n
gisahhan,gisahhu,"V;IND;SG;1;PRS",ɡ i s a x h u
gisahhan,gisuohh,"V;IND;SG;1;PST",ɡ i s u o x x
gisahhan,gisahhis,"V;IND;SG;2;PRS",ɡ i s a x x i s
gisahhan,gisuohhi,"V;IND;SG;2;PST",ɡ i s u o x h i
gisahhan,gisahhit,"V;IND;SG;3;PRS",ɡ i s a x x i t
gisahhan,gisuohh,"V;IND;SG;3;PST",ɡ i s u o x x
gisahhan,gisahhem,"V;IND;PL;1;PRS",ɡ i s a x h e m
gisahhan,gisahhemes,"V;IND;PL;1;PRS",ɡ i s a x h e m e s
gisahhan,gisuohhum,"V;IND;PL;1;PST",ɡ i s u o x h u m
gisahhan,gisuohhumes,"V;IND;PL;1;PST",ɡ i s u o x h u m e s
gisahhan,gisahhet,"V;IND;PL;2;PRS",ɡ i s a x h e t
gisahhan,gisuohhut,"V;IND;PL;2;PST",ɡ i s u o x h u t
gisahhan,gisahhant,"V;IND;PL;3;PRS",ɡ i s a x h a n t
gisahhan,gisuohhun,"V;IND;PL;3;PST",ɡ i s u o̯ x h u n
gisahhan,gisahhe,"V;SBJV;SG;1;PRS",ɡ i s a x h e
gisahhan,gisuohhi,"V;SBJV;SG;1;PST",ɡ i s u o x h i
gisahhan,gisahhes,"V;SBJV;SG;2;PRS",ɡ i s a x h e s
gisahhan,gisuohhis,"V;SBJV;SG;2;PST",ɡ i s u o x x i s
gisahhan,gisahhe,"V;SBJV;SG;3;PRS",ɡ i s a x h e
gisahhan,gisuohhi,"V;SBJV;SG;3;PST",ɡ i s u o x h i
gisahhan,gisahhem,"V;SBJV;PL;1;PRS",ɡ i s a x h e m
gisahhan,gisahhemes,"V;SBJV;PL;1;PRS",ɡ i s a x h e m e s
gisahhan,gisuohhim,"V;SBJV;PL;1;PST",ɡ i s u o x h i m
gisahhan,gisuohhimes,"V;SBJV;PL;1;PST",ɡ i s u o x h i m e s
gisahhan,gisahhet,"V;SBJV;PL;2;PRS",ɡ i s a x h e t
gisahhan,gisuohhit,"V;SBJV;PL;2;PST",ɡ i s u o x h i t
gisahhan,gisahhen,"V;SBJV;PL;3;PRS",ɡ i s a x h e n
gisahhan,gisuohhin,"V;SBJV;PL;3;PST",ɡ i s u o x x i n
gisahhan,gisahh,"V;IMP;SG;PRS",ɡ i s̠ a x
gisahhan,gisahhet,"V;IMP;PL;PRS",ɡ i s a x h e t
brehhan,brehhan,"V;NFIN",b r e x h a n
brehhan,brihhu,"V;IND;SG;1;PRS",b r i x h u
brehhan,brah,"V;IND;SG;1;PST",b r a x
brehhan,brihhis,"V;IND;SG;2;PRS",b r i x x i s
brehhan,brāhhi,"V;IND;SG;2;PST",b r aː x x i
brehhan,brihhit,"V;IND;SG;3;PRS",b r i x x i t
brehhan,brah,"V;IND;SG;3;PST",b r a x
brehhan,brehhem,"V;IND;PL;1;PRS",b r e x h e m
brehhan,brehhemes,"V;IND;PL;1;PRS",b r e x h e m e s
brehhan,brāhhum,"V;IND;PL;1;PST",b r aː x h u m
brehhan,brāhhumes,"V;IND;PL;1;PST",b r aː x h u m e s
brehhan,brehhet,"V;IND;PL;2;PRS",b r e x h e t
brehhan,brāhhut,"V;IND;PL;2;PST",b r aː x h u t
brehhan,brehhant,"V;IND;PL;3;PRS",b r e x h a n t
brehhan,brāhhun,"V;IND;PL;3;PST",b r aː x h u n
brehhan,brehhe,"V;SBJV;SG;1;PRS",b r e x h e
brehhan,brāhhi,"V;SBJV;SG;1;PST",b r aː x x i
brehhan,brehhes,"V;SBJV;SG;2;PRS",b r e x h e s
brehhan,brāhhis,"V;SBJV;SG;2;PST",b r aː x x i s
brehhan,brehhe,"V;SBJV;SG;3;PRS",b r e x h e
brehhan,brāhhi,"V;SBJV;SG;3;PST",b r aː x x i
brehhan,brehhem,"V;SBJV;PL;1;PRS",b r e x h e m
brehhan,brehhemes,"V;SBJV;PL;1;PRS",b r e x h e m e s
brehhan,brāhhim,"V;SBJV;PL;1;PST",b r aː x h i m
brehhan,brāhhimes,"V;SBJV;PL;1;PST",b r aː x x i m e s
brehhan,brehhet,"V;SBJV;PL;2;PRS",b r e x h e t
brehhan,brāhhit,"V;SBJV;PL;2;PST",b r aː x h i t
brehhan,brehhen,"V;SBJV;PL;3;PRS",b r e x h e n
brehhan,brāhhin,"V;SBJV;PL;3;PST",b r aː x x i n
brehhan,brih,"V;IMP;SG;PRS",b r i x
brehhan,brehhet,"V;IMP;PL;PRS",b r e x h e t
meinen,meinen,"V;NFIN",m e i̯ n e n
meinen,meinu,"V;IND;SG;1;PRS",m e i̯ n u
meinen,meinita,"V;IND;SG;1;PST",m e i n i t a
meinen,meinis,"V;IND;SG;2;PRS",m e i̯ n i s
meinen,meinitos,"V;IND;SG;2;PST",m e i̯ n i t o s
meinen,meinit,"V;IND;SG;3;PRS",m e i n i t
meinen,meinita,"V;IND;SG;3;PST",m e i n i t a
meinen,meinem,"V;IND;PL;1;PRS",m e i̯ n e m
meinen,meinemes,"V;IND;PL;1;PRS",m e j n e m e s
meinen,meinitum,"V;IND;PL;1;PST",m e i̯ n i t u m
meinen,meinitumes,"V;IND;PL;1;PST",m e i̯ n i t u m e s
meinen,meinet,"V;IND;PL;2;PRS",m e i̯ n e t
meinen,meinitut,"V;IND;PL;2;PST",m e i̯ n i t uː t
meinen,meinent,"V;IND;PL;3;PRS",m e i n e n t
meinen,meinitun,"V;IND;PL;3;PST",m e i̯ n i t u n
meinen,meine,"V;SBJV;SG;1;PRS",m e i̯ n e
meinen,meiniti,"V;SBJV;SG;1;PST",m e i n i t i
meinen,meines,"V;SBJV;SG;2;PRS",m e i̯ n e s
meinen,meinitis,"V;SBJV;SG;2;PST",m e i̯ n i t i s
meinen,meine,"V;SBJV;SG;3;PRS",m e i̯ n e
meinen,meiniti,"V;SBJV;SG;3;PST",m e i n i t i
meinen,meinem,"V;SBJV;PL;1;PRS",m e i̯ n e m
meinen,meinemes,"V;SBJV;PL;1;PRS",m e j n e m e s
meinen,meinitim,"V;SBJV;PL;1;PST",m e i̯ n i t i m
meinen,meinitimes,"V;SBJV;PL;1;PST",m e i̯ n i t i m e s
meinen,meinet,"V;SBJV;PL;2;PRS",m e i̯ n e t
meinen,meinitit,"V;SBJV;PL;2;PST",m e i̯ n i t i t
meinen,meinen,"V;SBJV;PL;3;PRS",m e i̯ n e n
meinen,meinitin,"V;SBJV;PL;3;PST",m e i̯ n i t i n
meinen,meini,"V;IMP;SG;PRS",m e i̯ n i
meinen,meinet,"V;IMP;PL;PRS",m e i̯ n e t
faltan,faltan,"V;NFIN",f a l t a n
faltan,faltu,"V;IND;SG;1;PRS",f a l t u
faltan,fialt,"V;IND;SG;1;PST",f i a l t
faltan,faltis,"V;IND;SG;2;PRS",f a l t i s
faltan,fialti,"V;IND;SG;2;PST",f i a l t i
faltan,faltit,"V;IND;SG;3;PRS",f a l t i t
faltan,fialt,"V;IND;SG;3;PST",f i a l t
faltan,faltem,"V;IND;PL;1;PRS",f a l t e m
faltan,faltemes,"V;IND;PL;1;PRS",f a l t e m e s
faltan,fialtum,"V;IND;PL;1;PST",f i a l t u m
faltan,fialtumes,"V;IND;PL;1;PST",f i a l t u m e s
faltan,faltet,"V;IND;PL;2;PRS",f a l t e t
faltan,fialtut,"V;IND;PL;2;PST",f i a l t uː t
faltan,faltant,"V;IND;PL;3;PRS",f a l t a n t
faltan,fialtun,"V;IND;PL;3;PST",f i a l t u n
faltan,falte,"V;SBJV;SG;1;PRS",f a l t e
faltan,fialti,"V;SBJV;SG;1;PST",f i a l t i
faltan,faltes,"V;SBJV;SG;2;PRS",f a l t e s
faltan,fialtis,"V;SBJV;SG;2;PST",f i a l t i s
faltan,falte,"V;SBJV;SG;3;PRS",f a l t e
faltan,fialti,"V;SBJV;SG;3;PST",f i a l t i
faltan,faltem,"V;SBJV;PL;1;PRS",f a l t e m
faltan,faltemes,"V;SBJV;PL;1;PRS",f a l t e m e s
faltan,fialtim,"V;SBJV;PL;1;PST",f i a l t i m
faltan,fialtimes,"V;SBJV;PL;1;PST",f i a l t i m e s
faltan,faltet,"V;SBJV;PL;2;PRS",f a l t e t
faltan,fialtit,"V;SBJV;PL;2;PST",f i a l t i t
faltan,falten,"V;SBJV;PL;3;PRS",f a l t e n
faltan,fialtin,"V;SBJV;PL;3;PST",f i a l t i n
faltan,falt,"V;IMP;SG;PRS",f a l t
faltan,faltet,"V;IMP;PL;PRS",f a l t e t
sëhan,sëhan,"V;NFIN",s eː h a n
sëhan,sihu,"V;IND;SG;1;PRS",s i h u
sëhan,sah,"V;IND;SG;1;PST",s̠ a x
sëhan,sihis,"V;IND;SG;2;PRS",s i h i s
sëhan,sāhi,"V;IND;SG;2;PST",s̠ aː h i
sëhan,sihit,"V;IND;SG;3;PRS",s i h i t
sëhan,sah,"V;IND;SG;3;PST",s̠ a x
sëhan,sëhem,"V;IND;PL;1;PRS",s ə h e m
sëhan,sëhemes,"V;IND;PL;1;PRS",s e x e m e s
sëhan,sāhum,"V;IND;PL;1;PST",s̠ aː x u m
sëhan,sāhumes,"V;IND;PL;1;PST",s̠ aː h u m e s
sëhan,sëhet,"V;IND;PL;2;PRS",s ə h e t
sëhan,sāhut,"V;IND;PL;2;PST",s̠ aː h u t
sëhan,sëhant,"V;IND;PL;3;PRS",s e h a n t
sëhan,sāhun,"V;IND;PL;3;PST",s̠ aː h u n
sëhan,sëhe,"V;SBJV;SG;1;PRS",s ə h e
sëhan,sāhi,"V;SBJV;SG;1;PST",s̠ aː h i
sëhan,sëhes,"V;SBJV;SG;2;PRS",s eː h e s
sëhan,sāhis,"V;SBJV;SG;2;PST",s̠ aː x i s
sëhan,sëhe,"V;SBJV;SG;3;PRS",s ə h e
sëhan,sāhi,"V;SBJV;SG;3;PST",s̠ aː h i
sëhan,sëhem,"V;SBJV;PL;1;PRS",s ə h e m
sëhan,sëhemes,"V;SBJV;PL;1;PRS",s e x e m e s
sëhan,sāhim,"V;SBJV;PL;1;PST",s̠ aː h i m
sëhan,sāhimes,"V;SBJV;PL;1;PST",s̠ aː x i m e s
sëhan,sëhet,"V;SBJV;PL;2;PRS",s ə h e t
sëhan,sāhit,"V;SBJV;PL;2;PST",s̠ aː h i t
sëhan,sëhen,"V;SBJV;PL;3;PRS",s eː h e n
sëhan,sāhin,"V;SBJV;PL;3;PST",s̠ aː h i n
sëhan,sih,"V;IMP;SG;PRS",s i x
sëhan,sëhet,"V;IMP;PL;PRS",s ə h e t
fullen,fullen,"V;NFIN",f u l l e n
fullen,fullu,"V;IND;SG;1;PRS",f u l l u
fullen,fulta,"V;IND;SG;1;PST",f u l t a
fullen,fullis,"V;IND;SG;2;PRS",f u l l i s
fullen,fultos,"V;IND;SG;2;PST",f u l t o s
fullen,fullit,"V;IND;SG;3;PRS",f u l l i t
fullen,fulta,"V;IND;SG;3;PST",f u l t a
fullen,fullem,"V;IND;PL;1;PRS",f u l l e m
fullen,fullemes,"V;IND;PL;1;PRS",f u l l e m e s
fullen,fultum,"V;IND;PL;1;PST",f u l t u m
fullen,fultumes,"V;IND;PL;1;PST",f u l t u m e s
fullen,fullet,"V;IND;PL;2;PRS",f u l l e t
fullen,fultut,"V;IND;PL;2;PST",f u l t uː t
fullen,fullent,"V;IND;PL;3;PRS",f u l l e n t
fullen,fultun,"V;IND;PL;3;PST",f u l t u n
fullen,fulle,"V;SBJV;SG;1;PRS",f u l l e
fullen,fulti,"V;SBJV;SG;1;PST",f u l t i
fullen,fulles,"V;SBJV;SG;2;PRS",f u l l e s
fullen,fultis,"V;SBJV;SG;2;PST",f u l t i s
fullen,fulle,"V;SBJV;SG;3;PRS",f u l l e
fullen,fulti,"V;SBJV;SG;3;PST",f u l t i
fullen,fullem,"V;SBJV;PL;1;PRS",f u l l e m
fullen,fullemes,"V;SBJV;PL;1;PRS",f u l l e m e s
fullen,fultim,"V;SBJV;PL;1;PST",f u l t i m
fullen,fultimes,"V;SBJV;PL;1;PST",f u l t i m e s
fullen,fullet,"V;SBJV;PL;2;PRS",f u l l e t
fullen,fultit,"V;SBJV;PL;2;PST",f u l t i t
fullen,fullen,"V;SBJV;PL;3;PRS",f u l l e n
fullen,fultin,"V;SBJV;PL;3;PST",f u l t i n
fullen,fulli,"V;IMP;SG;PRS",f u l l i
fullen,fullet,"V;IMP;PL;PRS",f u l l e t
eindrucchen,eindrucchen,"V;NFIN",e i n d r u kː e n
eindrucchen,eindrucchu,"V;IND;SG;1;PRS",e i n d r u k k u
eindrucchen,eindruhta,"V;IND;SG;1;PST",e i n d r u x t a
eindrucchen,eindrucchis,"V;IND;SG;2;PRS",e i n d r u k k i s
eindrucchen,eindruhtos,"V;IND;SG;2;PST",e i n d r u x t o s
eindrucchen,eindrucchit,"V;IND;SG;3;PRS",e i n d r u k k i t
eindrucchen,eindruhta,"V;IND;SG;3;PST",e i n d r u x t a
eindrucchen,eindrucchem,"V;IND;PL;1;PRS",e i n d r u k k e m
eindrucchen,eindrucchemes,"V;IND;PL;1;PRS",e i n d r u k k e m e s
eindrucchen,eindruhtum,"V;IND;PL;1;PST",e i n d r u x t u m
eindrucchen,eindruhtumes,"V;IND;PL;1;PST",e i n d r u x t u m e s
eindrucchen,eindrucchet,"V;IND;PL;2;PRS",e i n d r u k k e t
eindrucchen,eindruhtut,"V;IND;PL;2;PST",e i n d r u x t u t
eindrucchen,eindrucchent,"V;IND;PL;3;PRS",e i n d r u k k e n t
eindrucchen,eindruhtun,"V;IND;PL;3;PST",e i n d r u x t u n
eindrucchen,eindrucche,"V;SBJV;SG;1;PRS",e i n d r u kː e
eindrucchen,eindruhti,"V;SBJV;SG;1;PST",e i n d r u x t i
eindrucchen,eindrucches,"V;SBJV;SG;2;PRS",e i n d r u k k e s
eindrucchen,eindruhtis,"V;SBJV;SG;2;PST",e i n d r u x t i s
eindrucchen,eindrucche,"V;SBJV;SG;3;PRS",e i n d r u kː e
eindrucchen,eindruhti,"V;SBJV;SG;3;PST",e i n d r u x t i
eindrucchen,eindrucchem,"V;SBJV;PL;1;PRS",e i n d r u k k e m
eindrucchen,eindrucchemes,"V;SBJV;PL;1;PRS",e i n d r u k k e m e s
eindrucchen,eindruhtim,"V;SBJV;PL;1;PST",e i n d r u x t i m
eindrucchen,eindruhtimes,"V;SBJV;PL;1;PST",e i n d r u x t i m e s
eindrucchen,eindrucchet,"V;SBJV;PL;2;PRS",e i n d r u k k e t
eindrucchen,eindruhtit,"V;SBJV;PL;2;PST",e i n d r u x t i t
eindrucchen,eindrucchen,"V;SBJV;PL;3;PRS",e i n d r u kː e n
eindrucchen,eindruhtin,"V;SBJV;PL;3;PST",e i n d r u x t i n
eindrucchen,eindrucchi,"V;IMP;SG;PRS",e i n d r u k k i
eindrucchen,eindrucchet,"V;IMP;PL;PRS",e i n d r u k k e t
lobōn,lobōn,"V;NFIN",l o b oː n
lobōn,lobom,"V;IND;SG;1;PRS",l o b o m
lobōn,lobota,"V;IND;SG;1;PST",l o b o t a
lobōn,lobos,"V;IND;SG;2;PRS",l o b o s
lobōn,lobotos,"V;IND;SG;2;PST",l o b o t o s
lobōn,lobot,"V;IND;SG;3;PRS",l o b o t
lobōn,lobota,"V;IND;SG;3;PST",l o b o t a
lobōn,lobom,"V;IND;PL;1;PRS",l o b o m
lobōn,lobomes,"V;IND;PL;1;PRS",l o b o m e s
lobōn,lobotum,"V;IND;PL;1;PST",l o b o t u m
lobōn,lobotumes,"V;IND;PL;1;PST",l o b o t u m e s
lobōn,lobot,"V;IND;PL;2;PRS",l o b o t
lobōn,lobotut,"V;IND;PL;2;PST",l o b o t uː t
lobōn,lobont,"V;IND;PL;3;PRS",l o b o n t
lobōn,lobotun,"V;IND;PL;3;PST",l o b o t u n
lobōn,lobo,"V;SBJV;SG;1;PRS",l o b o
lobōn,loboti,"V;SBJV;SG;1;PST",l o b o t i
lobōn,lobos,"V;SBJV;SG;2;PRS",l o b o s
lobōn,lobotis,"V;SBJV;SG;2;PST",l o b o t i s
lobōn,lobo,"V;SBJV;SG;3;PRS",l o b o
lobōn,loboti,"V;SBJV;SG;3;PST",l o b o t i
lobōn,lobom,"V;SBJV;PL;1;PRS",l o b o m
lobōn,lobomes,"V;SBJV;PL;1;PRS",l o b o m e s
lobōn,lobotim,"V;SBJV;PL;1;PST",l o b o t i m
lobōn,lobotimes,"V;SBJV;PL;1;PST",l o b o t i m e s
lobōn,lobot,"V;SBJV;PL;2;PRS",l o b o t
lobōn,lobotit,"V;SBJV;PL;2;PST",l o b o t i t
lobōn,lobon,"V;SBJV;PL;3;PRS",l oː b o n
lobōn,lobotin,"V;SBJV;PL;3;PST",l o b o t i n
lobōn,lobo,"V;IMP;SG;PRS",l o b o
lobōn,lobot,"V;IMP;PL;PRS",l o b o t
flēhan,flēhan,"V;NFIN",f l eː x a n
flēhan,flēhu,"V;IND;SG;1;PRS",f l eː x u
flēhan,fliah,"V;IND;SG;1;PST",f l i a x
flēhan,flēhis,"V;IND;SG;2;PRS",f l eː x i s
flēhan,fliahi,"V;IND;SG;2;PST",f l i a h i
flēhan,flēhit,"V;IND;SG;3;PRS",f l eː x i t
flēhan,fliah,"V;IND;SG;3;PST",f l i a x
flēhan,flēhem,"V;IND;PL;1;PRS",f l eː x e m
flēhan,flēhemes,"V;IND;PL;1;PRS",f l eː x e m e s
flēhan,fliahum,"V;IND;PL;1;PST",f l i a h u m
flēhan,fliahumes,"V;IND;PL;1;PST",f l i a h u m e s
flēhan,flēhet,"V;IND;PL;2;PRS",f l eː x e t
flēhan,fliahut,"V;IND;PL;2;PST",f l i a h u t
flēhan,flēhant,"V;IND;PL;3;PRS",f l eː x a n t
flēhan,fliahun,"V;IND;PL;3;PST",f l i a h u n
flēhan,flēhe,"V;SBJV;SG;1;PRS",f l eː x e
flēhan,fliahi,"V;SBJV;SG;1;PST",f l i a h i
flēhan,flēhes,"V;SBJV;SG;2;PRS",f l eː x e s
flēhan,fliahis,"V;SBJV;SG;2;PST",f l i a h i s
flēhan,flēhe,"V;SBJV;SG;3;PRS",f l eː x e
flēhan,fliahi,"V;SBJV;SG;3;PST",f l i a h i
flēhan,flēhem,"V;SBJV;PL;1;PRS",f l eː x e m
flēhan,flēhemes,"V;SBJV;PL;1;PRS",f l eː x e m e s
flēhan,fliahim,"V;SBJV;PL;1;PST",f l i a h i m
flēhan,fliahimes,"V;SBJV;PL;1;PST",f l i a h i m e s
flēhan,flēhet,"V;SBJV;PL;2;PRS",f l eː x e t
flēhan,fliahit,"V;SBJV;PL;2;PST",f l i a h i t
flēhan,flēhen,"V;SBJV;PL;3;PRS",f l eː x e n
flēhan,fliahin,"V;SBJV;PL;3;PST",f l i a h i n
flēhan,flēh,"V;IMP;SG;PRS",f l eː x
flēhan,flēhet,"V;IMP;PL;PRS",f l eː x e t
biginnan,biginnan,"V;NFIN",b i ɡ i n n a n
biginnan,biginnu,"V;IND;SG;1;PRS",b i ɡ i n n u
biginnan,"bigan, bigonta, bigonda","V;IND;SG;1;PST",b i ɡ a n
biginnan,biginnis,"V;IND;SG;2;PRS",b i ɡ i n n i s
