lemma,form,paradigm_slot,phonemic_form
afwâschen,wâschest af,V;IND;SG;2;PRS,v ɑː s x ə s t a f
afwâschen,afwôsch,V;IND;SG;1;PST,a f w oː ʃ
afwâschen,afwö̂schen,V;SBJV;PL;PST,a f v œ ʃ ə n
afwâschen,wâsch af,V;IMP;SG;2,v ɑː s x a f
afwâschen,afwôschest,V;IND;SG;2;PST,a f w oː s x ə s t
afwâschen,afwö̂schest,V;IND;SG;2;PST,a f v œ ʃ ə s t
afwâschen,wôsch af,V;IND;SG;1;PST,w oː ʃ a f
afwâschen,wâschet af,V;SBJV;SG;3;PRS,w ɑː s x ə t
afwâschen,afwēschet,V;IND;SG;3;PRS,a f w eː ʃ ɛ t
afwâschen,afwaschet,V;IND;SG;3;PRS,a f v a s x ɛ t
afwâschen,wö̂schen af,V;SBJV;PL;PST,v œː ʃ ə n
afwâschen,afwâsche,V;SBJV;SG;1;PRS,a f v ɑː ʃ ə
afwâschen,wôschest,V;IND;SG;2;PST,w oː s k ə s t
afwâschen,wö̂schest af,V;IND;SG;2;PST,v œː ʃ ə s t a f
afwölteren,wölteren,V;IND;PL;PRS,w œ l t ə r ə n
afwölteren,wöltere af,V;IND;SG;1;PRS,v œ l t ə r ə
afwölteren,afwölterede,V;SBJV;SG;1;PST,a f v œ l t ə r ə ð ə
afwölteren,wölterede af,V;IND;SG;3;PST,v œ l t ə r ə ð ə
afwölteren,afwölterede,V;IND;SG;3;PST,a f v œ l t ə r ə ð ə
afwölteren,af tô wölterene,V;NFIN,a f t oː w œ l t ə r ə n ə
afwölteren,af tô wölterende,V;NFIN,a f t oː w œ l t ə r ə n d ə
afwölteren,afwölterest,V;IND;SG;2;PRS,a f v œ l t ə r ə s t
afwölteren,afwölteren,V;SBJV;PL;PRS,a f v œ l t ə r ə n
afwölteren,wölterede af,V;SBJV;SG;1;PST,v œ l t ə r ə ð ə
afwölteren,afwöltereden,V;IND;PL;PST,a f v œ l t ə r ə ð ə n
afwölteren,wölterest af,V;SBJV;SG;2;PRS,v œ l t ə r ə s t
afwölteren,wöltereden af,V;IND;PL;PST,v œ l t ə r ə ð ə n
afwölteren,afwölteret,V;SBJV;SG;3;PRS,a f v œ l t ə r ə t
afwölteren,wölteret af,V;IMP;PL;2,v œ l t ə r ə t
afwölteren,afwöltere,V;IND;SG;1;PRS,a f v œ l t ə r ə
afwölteren,wölteret af,V;IND;SG;3;PRS,v œ l t ə r ə t
afwölteren,afwölteredest,V;SBJV;SG;2;PST,a f v œ l t ə r ə d ə s t
afwölteren,afwölteren,V;NFIN,a f v œ l t ə r ə n
afwölteren,wölteren af,V;SBJV;PL;PRS,v œ l t ə r ə n
afwölteren,wölterede af,V;SBJV;SG;3;PST,v œ l t ə r ə ð ə
afwölteren,wölteredest af,V;SBJV;SG;2;PST,v œ l t ə r ə ð ə s t a f
afwölteren,afwölterede,V;SBJV;SG;3;PST,a f v œ l t ə r ə ð ə
afwölteren,afwölterest,V;SBJV;SG;2;PRS,a f v œ l t ə r ə s t
afwölteren,wöltere af,V;SBJV;SG;1;PRS,v œ l t ə r ə
afwölteren,afwölteren,V;IND;PL;PRS,a f v œ l t ə r ə n
afwölteren,wölterest af,V;IND;SG;2;PRS,v œ l t ə r ə s t
afwölteren,afwölterede,V;IND;SG;1;PST,a f v œ l t ə r ə ð ə
afwölteren,afwöltereden,V;SBJV;PL;PST,a f v œ l t ə r ə ð ə n
afwölteren,wöltere af,V;IMP;SG;2,v œ l t ə r ə
afwölteren,afwölteredest,V;IND;SG;2;PST,a f v œ l t ə r ə d ə s t
afwölteren,wölterede af,V;IND;SG;1;PST,v œ l t ə r ə ð ə
afwölteren,wölteret af,V;SBJV;SG;3;PRS,v œ l t ə r ə t
afwölteren,afwölteret,V;IND;SG;3;PRS,a f v œ l t ə r ə t
afwölteren,wöltereden af,V;SBJV;PL;PST,v œ l t ə r ə ð ə n
afwölteren,afwöltere,V;SBJV;SG;1;PRS,a f v œ l t ə r ə
afwölteren,wölteredest af,V;IND;SG;2;PST,v œ l t ə r ə ð ə s t a f
helpen,helpest,V;IND;SG;2;PRS,h ɛ l p ə s t
helpen,helpst,V;IND;SG;2;PRS,h ɛ l p s t
helpen,hulpen,V;IND;PL;PST,h ʉ l p ə n
helpen,hülpen,V;IND;PL;PST,h y l p ə n
helpen,hülpest,V;SBJV;SG;2;PST,h y l p ə s t
helpen,helpet,V;SBJV;SG;3;PRS,h ɛ l p ə t
helpen,hülpe,V;SBJV;SG;3;PST,h y l p ə
helpen,helpe,V;IND;SG;1;PRS,h ɛ l p ə
helpen,helpen,V;IND;PL;PRS,h ɛ l p ə n
helpen,tô helpene,V;NFIN,t oː h ɛ l p ə n ə
helpen,tô helpende,V;NFIN,t oː h ɛ l p ə n d ə
helpen,hülpen,V;SBJV;PL;PST,h y l p ə n
helpen,halp,V;IND;SG;1;PST,h a l p
helpen,helpest,V;SBJV;SG;2;PRS,h ɛ l p ə s t
helpen,helpet,V;IND;SG;3;PRS,h ɛ l p ə t
helpen,helpt,V;IND;SG;3;PRS,h ɛ l p t
helpen,helpet,V;IMP;PL;2,h ɛ l p ə t
helpen,helpen,V;NFIN,h ɛ l p ə n
helpen,helpe,V;SBJV;SG;1;PRS,h ɛ l p ə
helpen,hulpest,V;IND;SG;2;PST,h ʊ l p ə s t
helpen,hülpest,V;IND;SG;2;PST,h y l p ə s t
helpen,helpen,V;SBJV;PL;PRS,h ɛ l p ə n
helpen,help,V;IMP;SG;2,h ɛ l p
helpen,hülpe,V;SBJV;SG;1;PST,h y l p ə
helpen,halp,V;IND;SG;3;PST,h a l p
jachteren,jachterest,V;IND;SG;2;PRS,j a x t ə r ə s t
jachteren,jachtereden,V;IND;PL;PST,j a x t ə r ə d ə n
jachteren,jachteredest,V;SBJV;SG;2;PST,j a x t ə r ə d ə s t
jachteren,jachteret,V;SBJV;SG;3;PRS,j a x t ə r ə t
jachteren,jachterede,V;SBJV;SG;3;PST,j a x t ə r ə d ə
jachteren,jachtere,V;IND;SG;1;PRS,j a x t ə r ə
jachteren,jachteren,V;IND;PL;PRS,j a x t ə r ə n
jachteren,tô jachterene,V;NFIN,t oː j a x t ə r ə n ə
jachteren,tô jachterende,V;NFIN,t oː j a x t ə r ə n d ə
jachteren,jachtereden,V;SBJV;PL;PST,j a x t ə r ə d ə n
jachteren,jachterede,V;IND;SG;1;PST,j a x t ə r ə d ə
jachteren,jachterest,V;SBJV;SG;2;PRS,j a x t ə r ə s t
jachteren,jachteret,V;IND;SG;3;PRS,j a x t ə r ə t
jachteren,jachteret,V;IMP;PL;2,j a x t ə r ə t
jachteren,jachteren,V;NFIN,j a x t ə r ə n
jachteren,jachtere,V;SBJV;SG;1;PRS,j a x t ə r ə
jachteren,jachteredest,V;IND;SG;2;PST,j a x t ə r ə d ə s t
jachteren,jachteren,V;SBJV;PL;PRS,j a x t ə r ə n
jachteren,jachtere,V;IMP;SG;2,j a x t ə r ə
jachteren,jachterede,V;SBJV;SG;1;PST,j a x t ə r ə d ə
jachteren,jachterede,V;IND;SG;3;PST,j a x t ə r ə d ə
jāgen,jāgest,V;IND;SG;2;PRS,j aː ɣ ə s t
jāgen,jāgeden,V;IND;PL;PST,j aː ɣ ə ð ə n
jāgen,jāgedest,V;SBJV;SG;2;PST,j aː ɣ ə ð ə s t
jāgen,jāget,V;SBJV;SG;3;PRS,j aː ɣ ə t
jāgen,jāgede,V;SBJV;SG;3;PST,j aː ɣ ə ð ə
jāgen,jāge,V;IND;SG;1;PRS,j aː ɣ ə
jāgen,jāgen,V;IND;PL;PRS,j aː ɣ ə n
jāgen,tô jāgene,V;NFIN,t oː j aː ɣ ə n ə
jāgen,tô jāgende,V;NFIN,t oː j aː ɣ ə n d ə
jāgen,jāgeden,V;SBJV;PL;PST,j aː ɣ ə ð ə n
jāgen,jāgede,V;IND;SG;1;PST,j aː ɣ ə ð ə
jāgen,jāgest,V;SBJV;SG;2;PRS,j aː ɣ ə s t
jāgen,jāget,V;IND;SG;3;PRS,j aː ɣ ə t
jāgen,jāget,V;IMP;PL;2,j aː ɣ ə t
jāgen,jāgen,V;NFIN,j aː ɣ ə n
jāgen,jāge,V;SBJV;SG;1;PRS,j aː ɣ ə
jāgen,jāgedest,V;IND;SG;2;PST,j aː ɣ ə ð ə s t
jāgen,jāgen,V;SBJV;PL;PRS,j aː ɣ ə n
jāgen,jāge,V;IMP;SG;2,j aː ɣ ə
jāgen,jāgede,V;SBJV;SG;1;PST,j aː ɣ ə ð ə
jāgen,jāgede,V;IND;SG;3;PST,j aː ɣ ə ð ə
krossen,krossest,V;IND;SG;2;PRS,k r ɔ sː ə s t
krossen,krosseden,V;IND;PL;PST,k r ɔ s ə d ə n
krossen,krossedest,V;SBJV;SG;2;PST,k r ɔ sː ə d ə s t
krossen,krosset,V;SBJV;SG;3;PRS,k r ɔ sː ə t
krossen,krossede,V;SBJV;SG;3;PST,k r ɔ s ə ð ə
krossen,krosse,V;IND;SG;1;PRS,k r ɔ sː ə
krossen,krossen,V;IND;PL;PRS,k r ɔ sː ə n
krossen,tô krossene,V;NFIN,t oː k r ɔ sː ə n ə
krossen,tô krossende,V;NFIN,t oː k r ɔ s ə n d ə
krossen,krosseden,V;SBJV;PL;PST,k r ɔ s ə d ə n
krossen,krossede,V;IND;SG;1;PST,k r ɔ s ə ð ə
krossen,krossest,V;SBJV;SG;2;PRS,k r ɔ sː ə s t
krossen,krosset,V;IND;SG;3;PRS,k r ɔ sː ə t
krossen,krosset,V;IMP;PL;2,k r ɔ sː ə t
krossen,krossen,V;NFIN,k r ɔ sː ə n
krossen,krosse,V;SBJV;SG;1;PRS,k r ɔ sː ə
krossen,krossedest,V;IND;SG;2;PST,k r ɔ sː ə d ə s t
krossen,krossen,V;SBJV;PL;PRS,k r ɔ sː ə n
krossen,krosse,V;IMP;SG;2,k r ɔ sː ə
krossen,krossede,V;SBJV;SG;1;PST,k r ɔ s ə ð ə
krossen,krossede,V;IND;SG;3;PST,k r ɔ s ə ð ə
lēven,lēvest,V;IND;SG;2;PRS,l eː v ə s t
lēven,lēveden,V;IND;PL;PST,l eː v ə ð ə n
lēven,lēvedest,V;SBJV;SG;2;PST,l eː v ə ð ə s t
lēven,lēvet,V;SBJV;SG;3;PRS,l eː v ə t
lēven,lēvede,V;SBJV;SG;3;PST,l eː v ə ð ə
lēven,lēve,V;IND;SG;1;PRS,l eː v ə
lēven,lēven,V;IND;PL;PRS,l eː v ə n
lēven,tô lēvene,V;NFIN,t oː l eː v ə n ə
lēven,tô lēvende,V;NFIN,t oː l eː v ə n d ə
lēven,lēveden,V;SBJV;PL;PST,l eː v ə ð ə n
lēven,lēvede,V;IND;SG;1;PST,l eː v ə ð ə
lēven,lēvest,V;SBJV;SG;2;PRS,l eː v ə s t
lēven,lēvet,V;IND;SG;3;PRS,l eː v ə t
lēven,lēvet,V;IMP;PL;2,l eː v ə t
lēven,lēven,V;NFIN,l eː v ə n
lēven,lēve,V;SBJV;SG;1;PRS,l eː v ə
lēven,lēvedest,V;IND;SG;2;PST,l eː v ə ð ə s t
lēven,lēven,V;SBJV;PL;PRS,l eː v ə n
lēven,lēve,V;IMP;SG;2,l eː v ə
lēven,lēvede,V;SBJV;SG;1;PST,l eː v ə ð ə
lēven,lēvede,V;IND;SG;3;PST,l eː v ə ð ə
nēmen,nēmest,V;IND;SG;2;PRS,n eː m ə s t
nēmen,nimst,V;IND;SG;2;PRS,n ɪ m s t
nēmen,nâmen,V;IND;PL;PST,n ɑː m ə n
nēmen,nêmen,V;IND;PL;PST,n eː m ə n
nēmen,nêmest,V;SBJV;SG;2;PST,n eː m ə s t
nēmen,nēmet,V;SBJV;SG;3;PRS,n eː m ə t
nēmen,nême,V;SBJV;SG;3;PST,n eː m ə
nēmen,nēme,V;IND;SG;1;PRS,n eː m ə
nēmen,nēmen,V;IND;PL;PRS,n eː m ə n
nēmen,tô nēmene,V;NFIN,t oː n eː m ə n ə
nēmen,tô nēmende,V;NFIN,t oː n eː m ə n d ə
nēmen,nêmen,V;SBJV;PL;PST,n eː m ə n
nēmen,nam,V;IND;SG;1;PST,n a m
nēmen,nēmest,V;SBJV;SG;2;PRS,n eː m ə s t
nēmen,nēmet,V;IND;SG;3;PRS,n eː m ə t
nēmen,nimt,V;IND;SG;3;PRS,n ɪ m t
nēmen,nēmet,V;IMP;PL;2,n eː m ə t
nēmen,nēmen,V;NFIN,n eː m ə n
nēmen,nēme,V;SBJV;SG;1;PRS,n eː m ə
nēmen,nâmest,V;IND;SG;2;PST,n ɑː m ə s t
nēmen,nêmest,V;IND;SG;2;PST,n eː m ə s t
nēmen,nēmen,V;SBJV;PL;PRS,n eː m ə n
nēmen,nim,V;IMP;SG;2,n ɪ m
nēmen,nême,V;SBJV;SG;1;PST,n eː m ə
nēmen,nam,V;IND;SG;3;PST,n a m
andrêpen,drêpen,V;IND;PL;PRS,d r eː p ə n
andrêpen,drêpe an,V;IND;SG;1;PRS,d r ɛː p ə
andrêpen,andrȫpe,V;SBJV;SG;1;PST,a n d r yː p ə
andrêpen,drôp an,V;IND;SG;3;PST,d r oː p a n
andrêpen,andrôp,V;IND;SG;3;PST,a n d r oː p
andrêpen,an tô drêpene,V;NFIN,a n t oː d r eː p ə n ə
andrêpen,an tô drêpende,V;NFIN,a n t oː d r eː p ə n d ə
andrêpen,andrü̂̂pest,V;IND;SG;2;PRS,a n d r yː p ə s t
andrêpen,andrü̂̂pst,V;IND;SG;2;PRS,a n d r yː p s t
andrêpen,andrêpen,V;SBJV;PL;PRS,a n d r eː p ə n
andrêpen,drȫpe an,V;SBJV;SG;1;PST,d r yː p ə
andrêpen,andrōpen,V;IND;PL;PST,a n d r oː p ə n
andrêpen,andrȫpen,V;IND;PL;PST,a n d r yː p ə n
andrêpen,drêpest an,V;SBJV;SG;2;PRS,d r ɛː p ə s t
andrêpen,drōpen,V;IND;PL;PST,d r oː p ə n
andrêpen,drȫpen an,V;IND;PL;PST,d r yː p ə n
andrêpen,andrêpet,V;SBJV;SG;3;PRS,a n d r eː p ə t
andrêpen,drêpet an,V;IMP;PL;2,d r ɛː p ə t
andrêpen,andrêpe,V;IND;SG;1;PRS,a n d r ɛː p ə
andrêpen,drü̂pet,V;IND;SG;3;PRS,d r yː p ə t
andrêpen,drü̂̂pt an,V;IND;SG;3;PRS,d r yː p t
andrêpen,andrȫpest,V;SBJV;SG;2;PST,a n d r yː p ə s t
andrêpen,andrêpen,V;NFIN,a n d r eː p ə n
andrêpen,drêpen an,V;SBJV;PL;PRS,d r ɛː p ə n
andrêpen,drȫpe an,V;SBJV;SG;3;PST,d r yː p ə
andrêpen,drȫpest an,V;SBJV;SG;2;PST,d r yː p ə s t
andrêpen,andrȫpe,V;SBJV;SG;3;PST,a n d r yː p ə
andrêpen,andrêpest,V;SBJV;SG;2;PRS,a n d r eː p ə s t
andrêpen,drêpe an,V;SBJV;SG;1;PRS,d r ɛː p ə
andrêpen,andrêpen,V;IND;PL;PRS,a n d r eː p ə n
andrêpen,drü̂pest,V;IND;SG;2;PRS,d r yː p ə s t
andrêpen,drü̂̂pst an,V;IND;SG;2;PRS,d r yː p s t
andrêpen,andrôp,V;IND;SG;1;PST,a n d r oː p
andrêpen,andrȫpen,V;SBJV;PL;PST,a n d r yː p ə n
andrêpen,drêp an,V;IMP;SG;2,d r ɛː p
andrêpen,andrōpest,V;IND;SG;2;PST,a n d r oː p ə s t
andrêpen,andrȫpest,V;IND;SG;2;PST,a n d r yː p ə s t
andrêpen,drôp an,V;IND;SG;1;PST,d r oː p a n
andrêpen,drêpet an,V;SBJV;SG;3;PRS,d r ɛː p ə t
andrêpen,andrü̂̂pet,V;IND;SG;3;PRS,a n d r yː p ə t
andrêpen,andrü̂̂pt,V;IND;SG;3;PRS,a n d r yː p t
andrêpen,drȫpen an,V;SBJV;PL;PST,d r yː p ə n
andrêpen,andrêpe,V;SBJV;SG;1;PRS,a n d r ɛː p ə
andrêpen,drōpest,V;IND;SG;2;PST,d r oː p ə s t
andrêpen,drȫpest an,V;IND;SG;2;PST,d r yː p ə s t
andrücken,drücken,V;IND;PL;PRS,d r ʏ k ə n
andrücken,drücke an,V;IND;SG;1;PRS,d r ʏ k ə
andrücken,andrückede,V;SBJV;SG;1;PST,a n d r ʏ k ə d ə
andrücken,drückede an,V;IND;SG;3;PST,d r ʏ k ə d ə
andrücken,andrückede,V;IND;SG;3;PST,a n d r ʏ k ə d ə
andrücken,an tô drückene,V;NFIN,a n t oː d r ʏ kː ə n ə
andrücken,an tô drückende,V;NFIN,a n t oː d r ʏ kː ə n d ə
andrücken,andrückest,V;IND;SG;2;PRS,a n d r ʏ k ə s t
andrücken,andrücken,V;SBJV;PL;PRS,a n d r ʏ k ə n
andrücken,drückede an,V;SBJV;SG;1;PST,d r ʏ k ə d ə
andrücken,andrückeden,V;IND;PL;PST,a n d r ʏ k ə d ə n
andrücken,drückest an,V;SBJV;SG;2;PRS,d r ʏ k ə s t
andrücken,drückeden an,V;IND;PL;PST,d r ʏ k ə d ə n
andrücken,andrücket,V;SBJV;SG;3;PRS,a n d r ʏ k ə t
andrücken,drücket an,V;IMP;PL;2,d r ʏ k ə t
andrücken,andrücke,V;IND;SG;1;PRS,a n d r ʏ k ə
andrücken,drücket an,V;IND;SG;3;PRS,d r ʏ k ə t
andrücken,andrückedest,V;SBJV;SG;2;PST,a n d r ʏ k ə d ə s t
andrücken,andrücken,V;NFIN,a n d r ʏ k ə n
andrücken,drücken an,V;SBJV;PL;PRS,d r ʏ k ə n
andrücken,drückede an,V;SBJV;SG;3;PST,d r ʏ k ə d ə
andrücken,drückedest an,V;SBJV;SG;2;PST,d r ʏ k ə d ə s t
andrücken,andrückede,V;SBJV;SG;3;PST,a n d r ʏ k ə d ə
andrücken,andrückest,V;SBJV;SG;2;PRS,a n d r ʏ k ə s t
andrücken,drücke an,V;SBJV;SG;1;PRS,d r ʏ k ə
andrücken,andrücken,V;IND;PL;PRS,a n d r ʏ k ə n
andrücken,drückest an,V;IND;SG;2;PRS,d r ʏ k ə s t
andrücken,andrückede,V;IND;SG;1;PST,a n d r ʏ k ə d ə
andrücken,andrückeden,V;SBJV;PL;PST,a n d r ʏ k ə d ə n
andrücken,drücke an,V;IMP;SG;2,d r ʏ k ə
andrücken,andrückedest,V;IND;SG;2;PST,a n d r ʏ k ə d ə s t
andrücken,drückede an,V;IND;SG;1;PST,d r ʏ k ə d ə
andrücken,drücket an,V;SBJV;SG;3;PRS,d r ʏ k ə t
andrücken,andrücket,V;IND;SG;3;PRS,a n d r ʏ k ə t
andrücken,drückeden an,V;SBJV;PL;PST,d r ʏ k ə d ə n
andrücken,andrücke,V;SBJV;SG;1;PRS,a n d r ʏ k ə
andrücken,drückedest an,V;IND;SG;2;PST,d r ʏ k ə d ə s t
anvechten,vechten,V;IND;PL;PRS,f ɛ x t ə n
anvechten,vechte an,V;IND;SG;1;PRS,f ɛ x t ə
anvechten,anvüchte,V;SBJV;SG;1;PST,a n f y x t ə
anvechten,vacht an,V;IND;SG;3;PST,f a x t
anvechten,anvacht,V;IND;SG;3;PST,a n f a x t
anvechten,an tô vechtene,V;NFIN,a n t oː f ɛ x t ə n ə
anvechten,an tô vechtende,V;NFIN,a n t oː f ɛ x t ə n d ə
anvechten,anvechtest,V;IND;SG;2;PRS,a n f ɛ x t ə s t
anvechten,anvechtst,V;IND;SG;2;PRS,a n f ɛ x t s t
anvechten,anvechten,V;SBJV;PL;PRS,a n f ɛ x t ə n
anvechten,vüchte an,V;SBJV;SG;1;PST,f y x t ə
anvechten,anvuchten,V;IND;PL;PST,a n f ʊ x t ə n
anvechten,anvüchten,V;IND;PL;PST,a n f y x t ə n
anvechten,vechtest an,V;SBJV;SG;2;PRS,f ɛ x t ə s t
anvechten,vuchten,V;IND;PL;PST,f ʊ x t ə n
anvechten,vüchten an,V;IND;PL;PST,f y x t ə n
anvechten,anvechtet,V;SBJV;SG;3;PRS,a n f ɛ x t ə t
anvechten,vechtet an,V;IMP;PL;2,f ɛ x t ə t
anvechten,anvechte,V;IND;SG;1;PRS,a n f ɛ x t ə
anvechten,vechtet,V;IND;SG;3;PRS,f ɛ x t ə t
anvechten,vecht an,V;IND;SG;3;PRS,f ɛ x t
anvechten,anvüchtest,V;SBJV;SG;2;PST,a n f y x t ə s t
anvechten,anvechten,V;NFIN,a n f ɛ x t ə n
anvechten,vechten an,V;SBJV;PL;PRS,f ɛ x t ə n
anvechten,vüchte an,V;SBJV;SG;3;PST,f y x t ə
anvechten,vüchtest an,V;SBJV;SG;2;PST,f y x t ə s t
anvechten,anvüchte,V;SBJV;SG;3;PST,a n f y x t ə
anvechten,anvechtest,V;SBJV;SG;2;PRS,a n f ɛ x t ə s t
anvechten,vechte an,V;SBJV;SG;1;PRS,f ɛ x t ə
anvechten,anvechten,V;IND;PL;PRS,a n f ɛ x t ə n
anvechten,vechtest,V;IND;SG;2;PRS,f ɛ x t ə s t
anvechten,vechtst an,V;IND;SG;2;PRS,f ɛ x t s t a n
anvechten,anvacht,V;IND;SG;1;PST,a n f a x t
anvechten,anvüchten,V;SBJV;PL;PST,a n f y x t ə n
anvechten,vecht an,V;IMP;SG;2,f ɛ x t
anvechten,anvuchtest,V;IND;SG;2;PST,a n f ʊ x t ə s t
anvechten,anvüchtest,V;IND;SG;2;PST,a n f y x t ə s t
anvechten,vacht an,V;IND;SG;1;PST,f a x t
anvechten,vechtet an,V;SBJV;SG;3;PRS,f ɛ x t ə t
anvechten,anvechtet,V;IND;SG;3;PRS,a n f ɛ x t ə t
anvechten,anvecht,V;IND;SG;3;PRS,a n f ɛ x t
anvechten,vüchten an,V;SBJV;PL;PST,f y x t ə n
anvechten,anvechte,V;SBJV;SG;1;PRS,a n f ɛ x t ə
anvechten,vuchtest,V;IND;SG;2;PST,f ʊ x t ə s t
anvechten,vüchtest an,V;IND;SG;2;PST,f y x t ə s t
rîden,rîdest,V;IND;SG;2;PRS,r iː ð ə s t
rîden,rîtst,V;IND;SG;2;PRS,r iː t s t
rîden,rēden,V;IND;PL;PST,r eː d ə n
rîden,rēdest,V;SBJV;SG;2;PST,r eː d ə s t
rîden,rîdet,V;SBJV;SG;3;PRS,r iː d ə t
rîden,rēde,V;SBJV;SG;3;PST,r eː d ə
rîden,rîde,V;IND;SG;1;PRS,r iː d ə
rîden,rîden,V;IND;PL;PRS,r iː d ə n
rîden,tô rîdene,V;NFIN,t oː r iː d ə n ə
rîden,tô rîdende,V;NFIN,t oː r iː d ə n d ə
rîden,rēden,V;SBJV;PL;PST,r eː d ə n
rîden,rêt,V;IND;SG;1;PST,r ɛː t
rîden,rîdest,V;SBJV;SG;2;PRS,r iː ð ə s t
rîden,rîdet,V;IND;SG;3;PRS,r iː d ə t
rîden,rît,V;IND;SG;3;PRS,r iː t
rîden,rîdet,V;IMP;PL;2,r iː d ə t
rîden,rîden,V;NFIN,r iː d ə n
rîden,rîde,V;SBJV;SG;1;PRS,r iː d ə
rîden,rēdest,V;IND;SG;2;PST,r eː d ə s t
rîden,rîden,V;SBJV;PL;PRS,r iː d ə n
rîden,rît,V;IMP;SG;2,r iː t
rîden,rēde,V;SBJV;SG;1;PST,r eː d ə
rîden,rêt,V;IND;SG;3;PST,r ɛː t
schrîven,schrîvest,V;IND;SG;2;PRS,s k r iː v ə s t
schrîven,schrîfst,V;IND;SG;2;PRS,ʃ r iː f s t
schrîven,schrēven,V;IND;PL;PST,ʃ r eː v ə n
schrîven,schrēvest,V;SBJV;SG;2;PST,ʃ r eː v ə s t
schrîven,schrîvet,V;SBJV;SG;3;PRS,ʃ r iː v ə t
schrîven,schrēve,V;SBJV;SG;3;PST,ʃ r eː v ə
