lemma,form,paradigm_slot,phonemic_form
maka/naka,maka,"V;NFIN",m a k a
maka/naka,naka,"V;PROG;PST",n a k a
maka/naka,maka,"V;PROG;FUT",m a k a
mangin/nangin,mangin,"V;NFIN",m a ŋ i n
mangin/nangin,nangin,"V;PST",n a ŋ i n
mangin/nangin,nangin,"V;PROG;PST",n a ŋ i n
mangin/nangin,nangin,"V;PRF;PST",n a ŋ i n
mangin/nangin,nangin,"V;PRF+PROG;PST",n a ŋ i n
mangin/nangin,mangin,"V;PRS",m a ŋ i n
mangin/nangin,mangin,"V;PROG;PRS",m a ŋ i n
mangin/nangin,nangin,"V;PRF;PRS",n a ŋ i n
mangin/nangin,nangin,"V;PRF+PROG;PRS",n a ŋ i n
mangin/nangin,mangin,"V;FUT",m a ŋ i n
mangin/nangin,mangin,"V;PROG;FUT",m a ŋ i n
mangin/nangin,mangin,"V;PRF;FUT",m a ŋ i n
mangin/nangin,mangin,"V;PRF+PROG;FUT",m a ŋ i n
sugod,sugod,"V;NFIN",s u ɡ o d
sugod,nagsugod,"V;PST",n a ɡ s u ɡ o d
sugod,nagsugod,"V;PROG;PST",n a ɡ s u ɡ o d
sugod,nagsugod na,"V;PRF;PST",n a ɡ s u ɡ o d n a
sugod,nagsugod pa,"V;PRF+PROG;PST",n a ɡ s u ɡ o d p a
sugod,nagasugod,"V;PRS",n a ɡ a s u ɡ o d
sugod,nagasugod,"V;PROG;PRS",n a ɡ a s u ɡ o d
sugod,nagasugod na,"V;PRF;PRS",n a ɡ a s u ɡ o d n a
sugod,nagasugod pa,"V;PRF+PROG;PRS",n a ɡ a s u ɡ o d p a
sugod,magasugod,"V;FUT",m a ɡ a s u ɡ o d
sugod,magasugod,"V;PROG;FUT",m a ɡ a s u ɡ o d
sugod,magasugod na,"V;PRF;FUT",m a ɡ a s u ɡ o d n a
sugod,magasugod pa,"V;PRF+PROG;FUT",m a ɡ a s u ɡ o d p a
buka,buka,"V;NFIN",b u k a
buka,ginbuka,"V;PST",ɡ i n b u k a
buka,ginbuka,"V;PROG;PST",ɡ i n b u k a
buka,ginbuka na,"V;PRF;PST",ɡ i n b u k a n a
buka,ginbuka pa,"V;PRF+PROG;PST",ɡ i n b u k a p a
buka,ginabuka,"V;PRS",ɡ i n a b u k a
buka,ginabuka,"V;PROG;PRS",ɡ i n a b u k a
buka,ginabuka na,"V;PRF;PRS",ɡ i n a b u k a n a
buka,ginabuka pa,"V;PRF+PROG;PRS",ɡ i n a b u k a p a
buka,pagabuka,"V;FUT",p a ɡ a b u k a
buka,pagabuka,"V;PROG;FUT",p a ɡ a b u k a
buka,pagabuka na,"V;PRF;FUT",p a ɡ a b u k a n a
buka,pagabuka pa,"V;PRF+PROG;FUT",p a ɡ a b u k a p a
ginhawa,ginhawa,"V;NFIN",ɡ i n h a w a
ginhawa,nagginhawa,"V;PST",n a ɡ ɡ i n h a w a
ginhawa,nagginhawa,"V;PROG;PST",n a ɡ ɡ i n h a w a
ginhawa,nagginhawa na,"V;PRF;PST",n a ɡ ɡ i n h a w a n a
ginhawa,nagginhawa pa,"V;PRF+PROG;PST",n a ɡ ɡ i n h a w a p a
ginhawa,nagaginhawa,"V;PRS",n a ɡ a ɡ i n h a w a
ginhawa,nagaginhawa,"V;PROG;PRS",n a ɡ a ɡ i n h a w a
ginhawa,nagaginhawa na,"V;PRF;PRS",n a ɡ a ɡ i n h a w a n a
ginhawa,nagaginhawa pa,"V;PRF+PROG;PRS",n a ɡ a ɡ i n h a w a p a
ginhawa,magaginhawa,"V;FUT",m a ɡ a ɡ i n h a w a
ginhawa,magaginhawa,"V;PROG;FUT",m a ɡ a ɡ i n h a w a
ginhawa,magaginhawa na,"V;PRF;FUT",m a ɡ a ɡ i n h a w a n a
ginhawa,magaginhawa pa,"V;PRF+PROG;FUT",m a ɡ a ɡ i n h a w a p a
bakal,bakal,"V;NFIN",b a k a l
bakal,nagbakal,"V;PST",n a ɡ b a k a l
bakal,nagbakal,"V;PROG;PST",n a ɡ b a k a l
bakal,nagbakal na,"V;PRF;PST",n a ɡ b a k a l n a
bakal,nagbakal pa,"V;PRF+PROG;PST",n a ɡ b a k a l p a
bakal,nagabakal,"V;PRS",n a ɡ a b a k a l
bakal,nagabakal,"V;PROG;PRS",n a ɡ a b a k a l
bakal,nagabakal na,"V;PRF;PRS",n a ɡ a b a k a l n a
bakal,nagabakal pa,"V;PRF+PROG;PRS",n a ɡ a b a k a l p a
bakal,magabakal,"V;FUT",m a ɡ a b a k a l
bakal,magabakal,"V;PROG;FUT",m a ɡ a b a k a l
bakal,magabakal na,"V;PRF;FUT",m a ɡ a b a k a l n a
bakal,magabakal pa,"V;PRF+PROG;FUT",m a ɡ a b a k a l p a
tawag,tawag,"V;NFIN",t a w a ɡ
tawag,nagtawag,"V;PST",n a ɡ t a w a ɡ
tawag,nagtawag,"V;PROG;PST",n a ɡ t a w a ɡ
tawag,nagtawag na,"V;PRF;PST",n a ɡ t a w a ɡ n a ʔ
tawag,nagtawag pa,"V;PRF+PROG;PST",n a ɡ t a w a ɡ p a ʔ
tawag,nagatawag,"V;PRS",n a ɡ a t a w a ɡ
tawag,nagatawag,"V;PROG;PRS",n a ɡ a t a w a ɡ
tawag,nagatawag na,"V;PRF;PRS",n a ɡ a t a w a ɡ n a
tawag,nagatawag pa,"V;PRF+PROG;PRS",n a ɡ a t a w a ɡ p a
tawag,magatawag,"V;FUT",m a ɡ a t a w a ɡ
tawag,magatawag,"V;PROG;FUT",m a ɡ a t a w a ɡ
tawag,magatawag na,"V;PRF;FUT",m a ɡ a t a w a ɡ n a
tawag,magatawag pa,"V;PRF+PROG;FUT",m a ɡ a t a w a ɡ p a ʔ
sarang,sarang,"V;NFIN",s a ɾ a ŋ
sarang,nakasarang,"V;PST",n a k a s a ɾ a ŋ
sarang,makasarang,"V;PRS",m a k a s a ɾ a ŋ
pili,pili,"V;NFIN",p i l i
pili,nagpili,"V;PST",n a ɡ p i l i ʔ
pili,nagpili,"V;PROG;PST",n a ɡ p i l i ʔ
pili,nagpili na,"V;PRF;PST",n a ɡ p i l i n a
pili,nagpili pa,"V;PRF+PROG;PST",n a ɡ p i l i p a
pili,nagapili,"V;PRS",n a ɡ a p i l i
pili,nagapili,"V;PROG;PRS",n a ɡ a p i l i
pili,nagapili na,"V;PRF;PRS",n a ɡ a p i l i n a
pili,nagapili pa,"V;PRF+PROG;PRS",n a ɡ a p i l i p a
pili,magapili,"V;FUT",m a ɡ a p i l i
pili,magapili,"V;PROG;FUT",m a ɡ a p i l i
pili,magapili na,"V;PRF;FUT",m a ɡ a p i l i n a
pili,magapili pa,"V;PRF+PROG;FUT",m a ɡ a p i l i p a
sira,sira,"V;NFIN",s i ɾ a
sira,ginsira,"V;PST",ɡ i n s i ɾ a
sira,ginsira,"V;PROG;PST",ɡ i n s i ɾ a
sira,ginsira na,"V;PRF;PST",ɡ i n s i ɾ a n a
sira,ginsira pa,"V;PRF+PROG;PST",ɡ i n s i ɾ a p a
sira,ginasira,"V;PRS",ɡ i n a s i ɾ a
sira,ginasira,"V;PROG;PRS",ɡ i n a s i ɾ a
sira,ginasira na,"V;PRF;PRS",ɡ i n a s i ɾ a n a
sira,ginasira pa,"V;PRF+PROG;PRS",ɡ i n a s i ɾ a p a
sira,magasira,"V;FUT",m a ɡ a s i ɾ a
sira,magasira,"V;PROG;FUT",m a ɡ a s i ɾ a
sira,magasira na,"V;PRF;FUT",m a ɡ a s i ɾ a n a
sira,magasira pa,"V;PRF+PROG;FUT",m a ɡ a s i ɾ a p a
abot,abot,"V;NFIN",ʔ a b o t
abot,nag-abot,"V;PST",n a ɡ ʔ a b o t
abot,nag-abot,"V;PROG;PST",n a ɡ ʔ a b o t
abot,nag-abot na,"V;PRF;PST",n a ɡ ʔ a b o t n a
abot,nag-abot pa,"V;PRF+PROG;PST",n a ɡ ʔ a b o t p a
abot,nagaabot,"V;PRS",n a ɡ a ʔ a b o t
abot,nagaabot,"V;PROG;PRS",n a ɡ a ʔ a b o t
abot,nagaabot na,"V;PRF;PRS",n a ɡ a ʔ a b o t n a
abot,nagaabot pa,"V;PRF+PROG;PRS",n a ɡ a ʔ a b o t p a
abot,magaabot,"V;FUT",m a ɡ a ʔ a b o t
abot,magaabot,"V;PROG;FUT",m a ɡ a ʔ a b o t
abot,magaabot na,"V;PRF;FUT",m a ɡ a ʔ a b o t n a
abot,magaabot pa,"V;PRF+PROG;FUT",m a ɡ a ʔ a b o t p a
luto,luto,"V;NFIN",l u t o
luto,nagluto,"V;PST",n a ɡ l u t o
luto,nagluto,"V;PROG;PST",n a ɡ l u t o
luto,nagluto na,"V;PRF;PST",n a ɡ l u t o n a
luto,nagluto pa,"V;PRF+PROG;PST",n a ɡ l u t o p a
luto,nagaluto,"V;PRS",n a ɡ a l u t o
luto,nagaluto,"V;PROG;PRS",n a ɡ a l u t o
luto,nagaluto na,"V;PRF;PRS",n a ɡ a l u t o n a
luto,nagaluto pa,"V;PRF+PROG;PRS",n a ɡ a l u t o p a
luto,magaluto,"V;FUT",m a ɡ a l u t o
luto,magaluto,"V;PROG;FUT",m a ɡ a l u t o
luto,magaluto na,"V;PRF;FUT",m a ɡ a l u t o n a
luto,magaluto pa,"V;PRF+PROG;FUT",m a ɡ a l u t o p a
hibi,hibi,"V;NFIN",h i b i
hibi,naghibi,"V;PST",n a ɡ h i b i
hibi,naghibi,"V;PROG;PST",n a ɡ h i b i
hibi,naghibi na,"V;PRF;PST",n a ɡ h i b i n a
hibi,naghibi pa,"V;PRF+PROG;PST",n a ɡ h i b i p a
hibi,nagahibi,"V;PRS",n a ɡ a h i b i
hibi,nagahibi,"V;PROG;PRS",n a ɡ a h i b i
hibi,nagahibi na,"V;PRF;PRS",n a ɡ a h i b i n a
hibi,nagahibi pa,"V;PRF+PROG;PRS",n a ɡ a h i b i p a
hibi,magahibi,"V;FUT",m a ɡ a h i b i
hibi,magahibi,"V;PROG;FUT",m a ɡ a h i b i
hibi,magahibi na,"V;PRF;FUT",m a ɡ a h i b i n a
hibi,magahibi pa,"V;PRF+PROG;FUT",m a ɡ a h i b i p a
saot,saot,"V;NFIN",s a ʔ o t
saot,nagsaot,"V;PST",n a ɡ s a ʔ o t
saot,nagsaot,"V;PROG;PST",n a ɡ s a ʔ o t
saot,nagsaot na,"V;PRF;PST",n a ɡ s a ʔ o t n a
saot,nagsaot pa,"V;PRF+PROG;PST",n a ɡ s a ʔ o t p a
saot,nagasaot,"V;PRS",n a ɡ a s a ʔ o t
saot,nagasaot,"V;PROG;PRS",n a ɡ a s a ʔ o t
saot,nagasaot na,"V;PRF;PRS",n a ɡ a s a ʔ o t n a
saot,nagasaot pa,"V;PRF+PROG;PRS",n a ɡ a s a ʔ o t p a
saot,magasaot,"V;FUT",m a ɡ a s a ʔ o t
saot,magasaot,"V;PROG;FUT",m a ɡ a s a ʔ o t
saot,magasaot na,"V;PRF;FUT",m a ɡ a s a ʔ o t n a
saot,magasaot pa,"V;PRF+PROG;FUT",m a ɡ a s a ʔ o t p a
desisyon,desisyon,"V;NFIN",d e s i s j o n
desisyon,nagdesisyon,"V;PST",n a ɡ d e s i s j o n
desisyon,nagdesisyon,"V;PROG;PST",n a ɡ d e s i s j o n
desisyon,nagdesisyon na,"V;PRF;PST",n a ɡ d e s i s j o n n a
desisyon,nagdesisyon pa,"V;PRF+PROG;PST",n a ɡ d e s i s j o n p a
desisyon,nagadesisyon,"V;PRS",n a ɡ a d e s i s j o n
desisyon,nagadesisyon,"V;PROG;PRS",n a ɡ a d e s i s j o n
desisyon,nagadesisyon na,"V;PRF;PRS",n a ɡ a d e s i s j o n n a
desisyon,nagadesisyon pa,"V;PRF+PROG;PRS",n a ɡ a d e s i s j o n p a
desisyon,magadesisyon,"V;FUT",m a ɡ a d e s i s j o n
desisyon,magadesisyon,"V;PROG;FUT",m a ɡ a d e s i s j o n
desisyon,magadesisyon na,"V;PRF;FUT",m a ɡ a d e s i s j o n n a
desisyon,magadesisyon pa,"V;PRF+PROG;FUT",m a ɡ a d e s i s j o n p a
buhin,buhin,"V;NFIN",b u h i n
buhin,nagbuhin,"V;PST",n a ɡ b u h i n
buhin,nagbuhin,"V;PROG;PST",n a ɡ b u h i n
buhin,nagbuhin na,"V;PRF;PST",n a ɡ b u h i n n a
buhin,nagbuhin pa,"V;PRF+PROG;PST",n a ɡ b u h i n p a
buhin,nagabuhin,"V;PRS",n a ɡ a b u h i n
buhin,nagabuhin,"V;PROG;PRS",n a ɡ a b u h i n
buhin,nagabuhin na,"V;PRF;PRS",n a ɡ a b u h i n n a
buhin,nagabuhin pa,"V;PRF+PROG;PRS",n a ɡ a b u h i n p a
buhin,magabuhin,"V;FUT",m a ɡ a b u h i n
buhin,magabuhin,"V;PROG;FUT",m a ɡ a b u h i n
buhin,magabuhin na,"V;PRF;FUT",m a ɡ a b u h i n n a
buhin,magabuhin pa,"V;PRF+PROG;FUT",m a ɡ a b u h i n p a
patay/tagumatayon,patay,"V;NFIN",p a t a j
patay/tagumatayon,napatay,"V;PST",n a p a t a j
patay/tagumatayon,napatay,"V;PROG;PST",n a p a t a j
patay/tagumatayon,naptay na,"V;PRF;PST",n a p t a j n a
patay/tagumatayon,nagtagumatayon pa,"V;PRF+PROG;PST",n a ɡ t a ɡ u m a t a j o n p a
patay/tagumatayon,napatay,"V;PRS",n a p a t a j
patay/tagumatayon,nagatagumatayon,"V;PROG;PRS",n a ɡ a t a ɡ u m a t a j o n
patay/tagumatayon,napatay na,"V;PRF;PRS",n a p a t a j n a
patay/tagumatayon,nagatagumatayon pa,"V;PRF+PROG;PRS",n a ɡ a t a ɡ u m a t a j o n p a
patay/tagumatayon,mapatay,"V;FUT",m a p a t a j
patay/tagumatayon,mapatay,"V;PROG;FUT",m a p a t a j
patay/tagumatayon,mapatay na,"V;PRF;FUT",m a p a t a j n a
patay/tagumatayon,mapatay pa,"V;PRF+PROG;FUT",m a p a t a j p a
himo,himo,"V;NFIN",h i m o
himo,naghimo,"V;PST",n a ɡ h i m o
himo,naghimo,"V;PROG;PST",n a ɡ h i m o
himo,naghimo na,"V;PRF;PST",n a ɡ h i m o n a
himo,naghimo pa,"V;PRF+PROG;PST",n a ɡ h i m o p a
himo,nagahimo,"V;PRS",n a ɡ a h i m o
himo,nagahimo,"V;PROG;PRS",n a ɡ a h i m o
himo,nagahimo na,"V;PRF;PRS",n a ɡ a h i m o n a
himo,nagahimo pa,"V;PRF+PROG;PRS",n a ɡ a h i m o p a
himo,magahimo,"V;FUT",m a ɡ a h i m o
himo,magahimo,"V;PROG;FUT",m a ɡ a h i m o
himo,magahimo na,"V;PRF;FUT",m a ɡ a h i m o n a
himo,magahimo pa,"V;PRF+PROG;FUT",m a ɡ a h i m o p a
inom,inom,"V;NFIN",ʔ i n o m
inom,nag-inom,"V;PST",n a ɡ ʔ i n o m
inom,nag-inom,"V;PROG;PST",n a ɡ ʔ i n o m
inom,nag-inom na,"V;PRF;PST",n a ɡ ʔ i n o m n a
inom,nag-inom pa,"V;PRF+PROG;PST",n a ɡ ʔ i n o m p a
inom,nagainom,"V;PRS",n a ɡ a ʔ i n o m
inom,nagainom,"V;PROG;PRS",n a ɡ a ʔ i n o m
inom,nagainom na,"V;PRF;PRS",n a ɡ a ʔ i n o m n a
inom,nagainom pa,"V;PRF+PROG;PRS",n a ɡ a ʔ i n o m p a
inom,magainom,"V;FUT",m a ɡ a ʔ i n o m
inom,magainom,"V;PROG;FUT",m a ɡ a ʔ i n o m
inom,magainom na,"V;PRF;FUT",m a ɡ a ʔ i n o m n a
inom,magainom pa,"V;PRF+PROG;FUT",m a ɡ a ʔ i n o m p a
maneho,maneho,"V;NFIN",m a n e h o
maneho,nagmaneho,"V;PST",n a ɡ m a n e h o
maneho,nagmaneho,"V;PROG;PST",n a ɡ m a n e h o
maneho,nagmaneho na,"V;PRF;PST",n a ɡ m a n e h o n a
maneho,nagmaneho pa,"V;PRF+PROG;PST",n a ɡ m a n e h o p a
maneho,nagamaneho,"V;PRS",n a ɡ a m a n e h o
maneho,nagamaneho,"V;PROG;PRS",n a ɡ a m a n e h o
maneho,nagamaneho na,"V;PRF;PRS",n a ɡ a m a n e h o n a
maneho,nagamaneho pa,"V;PRF+PROG;PRS",n a ɡ a m a n e h o p a
maneho,magamaneho,"V;FUT",m a ɡ a m a n e h o
maneho,magamaneho,"V;PROG;FUT",m a ɡ a m a n e h o
maneho,magamaneho na,"V;PRF;FUT",m a ɡ a m a n e h o n a
maneho,magamaneho pa,"V;PRF+PROG;FUT",m a ɡ a m a n e h o p a
kaon,kaon,"V;NFIN",k a ʔ o n
kaon,nagkaon,"V;PST",n a ɡ k a ʔ o n
kaon,nagkaon,"V;PROG;PST",n a ɡ k a ʔ o n
kaon,nagkaon na,"V;PRF;PST",n a ɡ k a ʔ o n n a
kaon,nagkaon pa,"V;PRF+PROG;PST",n a ɡ k a ʔ o n p a
kaon,nagakaon,"V;PRS",n a ɡ a k a ʔ o n
kaon,nagakaon,"V;PROG;PRS",n a ɡ a k a ʔ o n
kaon,nagakaon na,"V;PRF;PRS",n a ɡ a k a ʔ o n n a
kaon,nagakaon pa,"V;PRF+PROG;PRS",n a ɡ a k a ʔ o n p a
kaon,magakaon,"V;FUT",m a ɡ a k a ʔ o n
kaon,magakaon,"V;PROG;FUT",m a ɡ a k a ʔ o n
kaon,magakaon na,"V;PRF;FUT",m a ɡ a k a ʔ o n n a
kaon,magakaon pa,"V;PRF+PROG;FUT",m a ɡ a k a ʔ o n p a
sulod,sulod,"V;NFIN",s u l o d
sulod,nagsulod,"V;PST",n a ɡ s u l o d
sulod,nagsulod,"V;PROG;PST",n a ɡ s u l o d
sulod,nagsulod na,"V;PRF;PST",n a ɡ s u l o d n a
sulod,nagsulod pa,"V;PRF+PROG;PST",n a ɡ s u l o d p a
sulod,nagasulod,"V;PRS",n a ɡ a s u l o d
sulod,nagasulod,"V;PROG;PRS",n a ɡ a s u l o d
sulod,nagasulod na,"V;PRF;PRS",n a ɡ a s u l o d n a
sulod,nagasulod pa,"V;PRF+PROG;PRS",n a ɡ a s u l o d p a
sulod,magasulod,"V;FUT",m a ɡ a s u l o d
sulod,magasulod,"V;PROG;FUT",m a ɡ a s u l o d
sulod,magasulod na,"V;PRF;FUT",m a ɡ a s u l o d n a
sulod,magasulod pa,"V;PRF+PROG;FUT",m a ɡ a s u l o d p a
gua,gua,"V;NFIN",ɡ u ʔ a
gua,naggua,"V;PST",n a ɡ ɡ u ʔ a
gua,naggua,"V;PROG;PST",n a ɡ ɡ u ʔ a
gua,naggua na,"V;PRF;PST",n a ɡ ɡ u ʔ a n a
gua,naggua pa,"V;PRF+PROG;PST",n a ɡ ɡ u ʔ a p a
gua,nagagua,"V;PRS",n a ɡ a ɡ u ʔ a
gua,nagagua,"V;PROG;PRS",n a ɡ a ɡ u ʔ a
gua,nagagua na,"V;PRF;PRS",n a ɡ a ɡ u ʔ a n a
gua,nagagua pa,"V;PRF+PROG;PRS",n a ɡ a ɡ u ʔ a p a
gua,magagua,"V;FUT",m a ɡ a ɡ u ʔ a
gua,magagua,"V;PROG;FUT",m a ɡ a ɡ u ʔ a
gua,magagua na,"V;PRF;FUT",m a ɡ a ɡ u ʔ a n a
gua,magagua pa,"V;PRF+PROG;FUT",m a ɡ a ɡ u ʔ a p a
paathag,paathag,"V;NFIN",p a ʔ a t h a ɡ
paathag,nagpaathag,"V;PST",n a ɡ p a ʔ a t h a ɡ
paathag,nagpaathag,"V;PROG;PST",n a ɡ p a ʔ a t h a ɡ
paathag,nagpaathag na,"V;PRF;PST",n a ɡ p a ʔ a t h a ɡ n a
paathag,nagpaathag pa,"V;PRF+PROG;PST",n a ɡ p a ʔ a t h a ɡ p a
paathag,nagapaathag,"V;PRS",n a ɡ a p a ʔ a t h a ɡ
paathag,nagapaathag,"V;PROG;PRS",n a ɡ a p a ʔ a t h a ɡ
paathag,nagapaathag na,"V;PRF;PRS",n a ɡ a p a ʔ a t h a ɡ n a
paathag,nagapaathag pa,"V;PRF+PROG;PRS",n a ɡ a p a ʔ a t h a ɡ p a
paathag,magapaathag,"V;FUT",m a ɡ a p a ʔ a t h a ɡ
paathag,magapaathag,"V;PROG;FUT",m a ɡ a p a ʔ a t h a ɡ
paathag,magapaathag na,"V;PRF;FUT",m a ɡ a p a ʔ a t h a ɡ n a
paathag,magapaathag pa,"V;PRF+PROG;FUT",m a ɡ a p a ʔ a t h a ɡ p a
hulog/kahulog,hulog,"V;NFIN",h u l o ɡ
hulog/kahulog,nahulog,"V;PST",n a h u l o ɡ
hulog/kahulog,nagakahulog,"V;PROG;PST",n a ɡ a k a h u l o ɡ
hulog/kahulog,nahulog na,"V;PRF;PST",n a h u l o ɡ n a
hulog/kahulog,nakagahulog pa,"V;PRF+PROG;PST",n a k a ɡ a h u l o ɡ p a
hulog/kahulog,nagakahulog,"V;PRS",n a ɡ a k a h u l o ɡ
hulog/kahulog,nagakahulog,"V;PROG;PRS",n a ɡ a k a h u l o ɡ
hulog/kahulog,nagakahulog na,"V;PRF;PRS",n a ɡ a k a h u l o ɡ n a
hulog/kahulog,nagakahulog pa,"V;PRF+PROG;PRS",n a ɡ a k a h u l o ɡ p a
hulog/kahulog,mahulog,"V;FUT",m a h u l o ɡ
hulog/kahulog,mahulog,"V;PROG;FUT",m a h u l o ɡ
hulog/kahulog,mahulog na,"V;PRF;FUT",m a h u l o ɡ n a
hulog/kahulog,mahulog pa,"V;PRF+PROG;FUT",m a h u l o ɡ p a
batyag,batyag,"V;NFIN",b a t j a ɡ
batyag,nagbatyag,"V;PST",n a ɡ b a t j a ɡ
batyag,nagbatyag,"V;PROG;PST",n a ɡ b a t j a ɡ
batyag,nagbatyag na,"V;PRF;PST",n a ɡ b a t j a ɡ n a
batyag,nagbatyag pa,"V;PRF+PROG;PST",n a ɡ b a t j a ɡ p a
batyag,nagabatyag,"V;PRS",n a ɡ a b a t j a ɡ
batyag,nagabatyag,"V;PROG;PRS",n a ɡ a b a t j a ɡ
batyag,nagabatyag na,"V;PRF;PRS",n a ɡ a b a t j a ɡ n a
batyag,nagabatyag pa,"V;PRF+PROG;PRS",n a ɡ a b a t j a ɡ p a
batyag,magabatyag,"V;FUT",m a ɡ a b a t j a ɡ
batyag,magabatyag,"V;PROG;FUT",m a ɡ a b a t j a ɡ
batyag,magabatyag na,"V;PRF;FUT",m a ɡ a b a t j a ɡ n a
batyag,magabatyag pa,"V;PRF+PROG;FUT",m a ɡ a b a t j a ɡ p a
away,away,"V;NFIN",ʔ a w a j
away,nag-away,"V;PST",n a ɡ ʔ a w a j
away,nag-away,"V;PROG;PST",n a ɡ ʔ a w a j
away,nag-away na,"V;PRF;PST",n a ɡ ʔ a w a j n a
away,nag-away pa,"V;PRF+PROG;PST",n a ɡ ʔ a w a j p a
