lemma,form,paradigm_slot,phonemic_form
sùgh,sùghaidh,V;FUT;ACT,s̪ uː ɪ
sùgh,sùghar,V;FUT;PASS,s̪ uː ə ɾ
suidh,a' suidhe,V;V.PTCP;PRS,ə s̪ ɯ j ə
suidh,shuidheadh,V;COND;ACT,h ɯ j ə ɣ
suidh,shuidheadh,V;PST;PASS,h ɯ j ə ɣ
suidh,shuidhteadh,V;COND;PASS,h ɯ h tʲ ə ɣ
suidh,shuidh,V;PST;ACT,h ɯ j
suidh,suidhear,V;FUT;PASS,s̪ ɯ ə ɾ
suidh,suidhidh,V;FUT;ACT,s̪ ɯ j ɪ
toilich,a' toileachadh,V;V.PTCP;PRS,a t̪ʰ ɔ l ə x ə ɣ
toilich,thoilicheadh,V;COND;ACT,h ɔ l ɪ ç ə ɣ
toilich,thoilicheadh,V;PST;PASS,h ɔ l ɪ ç ə ɣ
toilich,thoilichteadh,V;COND;PASS,h ɔ l ɪ ç tʲ ə ɣ
toilich,thoilich,V;PST;ACT,h ɔ l ɪ ç
toilich,toilichear,V;FUT;PASS,t̪ʰ ɔ l ɪ ç ə ɾ
toilich,toilichidh,V;FUT;ACT,t̪ʰ ɔ l ɪ ç ɪ
tòisich,a' tòiseachadh,V;V.PTCP;PRS,a t̪ʰ ɔː ʃ ə x ə ɣ
tòisich,thòisicheadh,V;COND;ACT,h ɔː ʃ ɪ ç ə ɣ
tòisich,thòisicheadh,V;PST;PASS,h ɔː ʃ ɪ ç ə ɣ
tòisich,thòisichteadh,V;COND;PASS,h ɔː ʃ ɪ ç tʲ ə ɣ
tòisich,thòisich,V;PST;ACT,h ɔː ʃ ɪ ç
tòisich,tòisichear,V;FUT;PASS,t̪ʰ ɔː ʃ ɪ ç ə ɾ
tòisich,tòisichidh,V;FUT;ACT,t̪ʰ ɔː ʃ ɪ ç ɪ
